"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","rig"
"0.10","62.000001","62.000001","0.000000","0.000000","0.000000","0.000000","0.000000","1"
"1.10","61.600001","63.200001","4.000000","0.000000","0.000000","0.000000","0.000000","1"
"2.20","62.400001","68.400001","14.000000","0.000000","0.000000","0.000000","0.000000","1"
"3.30","64.000001","72.800001","25.200000","0.000000","0.000000","0.000000","0.000000","1"
"4.40","55.600001","77.200001","30.800000","0.400000","0.400000","0.000000","0.000000","1"
"5.50","54.400001","88.800001","38.800001","2.000000","2.800000","0.000000","0.000000","1"
"6.60","55.200001","94.000001","44.800001","7.200000","8.000000","0.000000","0.000000","1"
"7.70","55.200001","99.600001","50.800001","8.000000","10.000000","0.000000","0.000000","1"
"8.70","60.400001","109.200002","55.200001","8.000000","10.000000","0.000000","0.000000","1"
"9.70","54.000001","110.400002","60.800001","8.000000","10.000000","0.000000","0.000000","1"
"10.70","57.600001","119.200002","64.000001","9.200000","13.600000","0.000000","0.000000","1"
"11.70","58.000001","126.000002","69.200001","12.200000","17.400000","0.000000","0.000000","1"
"12.70","57.400001","129.600002","74.000001","12.000000","18.000000","0.000000","0.000000","1"
"13.70","64.600001","138.800002","79.200001","10.600000","18.200000","0.000000","0.000000","1"
"14.70","59.000001","139.600002","84.600001","11.400000","20.600000","0.000000","0.000000","1"
"15.70","63.000001","148.800002","88.600001","11.600000","22.400000","0.000000","0.000000","1"
"16.80","66.200001","158.400002","93.600001","11.000000","24.000000","0.000000","0.000000","1"
"17.90","59.600001","159.200002","100.400001","9.400000","24.600000","0.800000","0.000000","1"
"19.00","60.000001","160.600002","101.400002","9.800000","25.400000","0.800000","0.000000","1"
"20.10","60.400001","162.400002","102.600002","9.200000","26.000000","0.800000","0.000000","1"
"21.20","59.000001","162.600002","103.800002","7.200000","26.200000","0.800000","0.000000","1"
"22.30","59.600001","163.200002","104.400002","7.000000","26.800000","0.800000","0.000000","1"
"23.40","56.400001","163.200002","105.200002","5.200000","27.000000","0.800000","0.000000","1"
"24.50","57.200001","163.800002","107.200002","4.600000","27.800000","0.800000","0.000000","1"
