"t","rpm","chain","torque","mass","massError","rearMass","delivered","nonfinite","carried"
"0.10","8.37","0.113","144.61","60000.000894","0.000000000","8640.000129","0.000000","0","0"
"1.10","10.19","0.218","132.22","60000.000894","0.000000000","8640.000129","0.000000","0","0"
"2.20","10.06","0.256","130.37","60000.000894","0.000000000","8720.000130","0.000000","0","0"
"3.30","12.46","0.252","115.35","60000.000894","0.000000000","9120.000136","0.000000","0","0"
"4.40","12.58","0.252","93.81","60000.000894","0.000000000","9524.800142","0.000000","0","0"
"5.50","12.81","0.248","77.65","60000.000894","0.000000000","9900.000148","0.000000","0","0"
"6.60","12.63","0.251","62.71","60000.000894","0.000000000","10320.000154","0.000000","0","0"
"7.70","12.07","0.256","73.92","60000.000894","0.000000000","10700.000159","0.000000","0","0"
"8.70","13.26","0.253","67.11","60000.000894","0.000000000","11076.400165","0.000000","0","0"
"9.70","12.99","0.208","72.62","60000.000894","0.000000000","11440.000170","0.000000","0","0"
"10.70","13.09","0.218","61.72","60000.000894","0.000000000","11800.000176","0.000000","0","0"
"11.70","13.28","0.237","58.32","60000.000894","0.000000000","12120.000181","0.000000","0","0"
"12.70","12.52","0.134","79.99","60000.000894","0.000000000","12500.000186","0.000000","0","0"
"13.70","11.49","0.228","97.44","60000.000894","0.000000000","12879.800192","0.000000","0","0"
"14.70","12.03","0.200","113.84","60000.000894","0.000000000","13242.400197","0.000000","0","0"
"15.70","12.90","0.234","58.50","60000.000894","0.000000000","13602.400203","0.000000","0","0"
"16.80","12.47","0.191","81.59","60000.000894","0.000000000","13996.800209","0.000000","0","0"
"17.90","13.53","0.207","61.91","60000.000894","0.000000000","14364.600214","0.800000","0","0"
"19.00","12.25","0.203","72.24","60000.000894","0.000000000","14444.400215","0.800000","0","0"
"20.10","11.78","0.224","111.53","60000.000894","0.000000000","14444.400215","0.800000","0","0"
"21.20","12.36","0.179","111.95","60000.000894","0.000000000","14439.400215","0.800000","0","0"
"22.30","12.97","0.192","97.48","60000.000894","0.000000000","14443.600215","0.800000","0","0"
"23.40","12.70","0.170","82.20","60000.000894","0.000000000","14444.000215","0.800000","0","0"
"24.50","11.59","0.198","92.76","60000.000894","0.000000000","14436.000215","0.800000","0","0"
