"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"-20.991","0.054","9.251","-20.991","0.054","9.251","-1"
"-98.732","0.097","-225.293","-98.732","0.097","-225.293","-1"
"-105.103","1.554","-119.993","-105.103","1.554","-119.993","-1"
"-78.510","-3.129","9.853","-78.510","-3.129","9.853","-1"
"-26.661","-2.312","-76.675","-26.661","-2.312","-76.675","-1"
"-62.866","9.288","-95.510","-62.866","9.288","-95.510","-1"
"-112.867","4.608","35.316","-112.867","4.608","35.316","-1"
"-119.338","-66.990","324.498","-119.338","-66.990","324.498","-1"
"-405.678","-63.445","45.707","-405.678","-63.445","45.707","-1"
"4.066","13.515","-44.378","4.066","13.515","-44.378","-1"
"5.009","2.895","-118.109","5.009","2.895","-118.109","-1"
"1.081","-3.998","-103.912","1.081","-3.998","-103.912","-1"
"-222.018","7.041","190.065","-222.018","7.041","190.065","-1"
"-104.153","-36.504","100.776","-104.153","-36.504","100.776","-1"
"-315.790","-30.932","63.674","-315.790","-30.932","63.674","-1"
"25.122","1.715","-132.211","25.122","1.715","-132.211","-1"
"12.382","-30.892","-163.230","12.382","-30.892","-163.230","-1"
"35.225","-50.655","-168.364","35.225","-50.655","-168.364","-1"
"-246.351","-65.100","19.509","-246.351","-65.100","19.509","-1"
"-159.929","-6.167","30.259","-159.929","-6.167","30.259","-1"
"-47.941","-2.451","-198.761","-47.941","-2.451","-198.761","-1"
"-54.545","-7.425","-145.789","-54.545","-7.425","-145.789","-1"
"-212.374","17.457","23.911","-212.374","17.457","23.911","-1"
"-361.240","16.442","185.620","-361.240","16.442","185.620","-1"
"-149.079","37.717","119.487","-149.079","37.717","119.487","-1"
"-135.787","36.318","118.466","-135.787","36.318","118.466","-1"
"-256.565","13.657","-53.341","-256.565","13.657","-53.341","-1"
"-74.210","-1.517","-345.713","-74.210","-1.517","-345.713","-1"
"-22.429","-17.721","-4.782","-22.429","-17.721","-4.782","-1"
