"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","705.202","0.0000"
"1.200","1.217","1.000","0.000","588.000","0.0000"
"2.300","2.317","1.000","0.000","588.001","0.0000"
"3.400","3.417","1.000","-267.191","589.034","0.0000"
"4.400","4.417","1.000","-186.757","635.312","0.0000"
"5.400","5.417","1.000","-75.489","553.082","0.0000"
"6.400","6.417","1.000","-314.732","609.144","0.0000"
"7.400","7.417","1.000","-117.636","663.468","0.0000"
"8.400","8.417","0.000","-274.323","591.841","0.0000"
"9.500","9.517","1.000","-207.126","731.668","0.0300"
"10.600","10.617","0.000","45.340","510.704","0.0000"
"11.700","11.717","1.000","-6.149","610.071","0.0300"
"12.800","12.817","1.000","-42.866","608.396","0.0300"
"13.900","13.917","1.000","-43.090","583.589","0.0300"
"15.000","15.017","1.000","-227.617","672.297","0.0300"
"16.100","16.117","1.000","-70.714","559.417","0.0300"
"17.200","17.217","1.000","-111.177","601.122","0.0300"
"18.300","18.317","1.000","-60.809","392.490","0.0300"
"19.400","19.417","1.000","-352.156","674.107","0.0300"
"20.500","20.517","0.000","-57.898","558.012","0.0000"
"21.600","21.617","0.000","-57.453","661.047","0.0000"
"22.700","22.717","0.000","-1.583","643.667","0.0000"
"23.800","23.817","1.000","-7.045","600.986","0.0300"
"24.900","24.917","1.000","-0.004","654.913","0.0300"
"26.000","26.017","1.000","-2.876","649.575","0.0300"
"27.100","27.117","1.000","-216.575","617.948","0.0300"
"28.200","28.217","0.000","-5.018","502.364","0.0000"
"29.300","29.317","1.000","-51.858","619.535","0.0300"
"30.400","30.417","1.000","-121.783","604.580","0.0300"
"31.500","31.517","1.000","-82.170","603.916","0.0300"
"32.600","32.617","1.000","-117.094","600.318","0.0300"
"33.700","33.717","0.000","-23.422","695.302","0.0000"
"34.800","34.817","1.000","-52.870","643.951","0.0300"
"35.900","35.917","1.000","-44.140","661.504","0.0300"
"37.000","37.017","1.000","-18.653","591.586","0.0300"
"38.100","38.117","0.000","-110.200","647.231","0.0000"
"39.200","39.217","1.000","-54.946","587.944","0.0300"
"40.300","40.317","1.000","-58.358","517.368","0.0300"
"41.400","41.417","0.000","-30.644","676.462","0.0000"
"42.500","42.517","0.887","-439.081","409.294","0.0300"
"43.600","43.617","0.000","-195.200","748.738","0.0000"
"44.699","44.717","1.000","-33.170","648.388","0.0300"
"45.799","45.817","1.000","-70.547","634.474","0.0300"
"46.899","46.917","1.000","-26.031","612.755","0.0300"
"47.999","48.017","1.000","-138.852","611.481","0.0300"
"49.099","49.117","1.000","-134.555","497.697","0.0300"
"50.199","50.217","1.000","-101.020","533.885","0.0000"
"51.299","51.317","1.000","-197.205","596.705","0.0000"
"52.399","52.417","1.000","-217.755","540.421","0.0000"
"53.499","53.517","1.000","-47.718","271.546","0.0000"
"54.599","54.617","0.000","-281.525","584.188","0.0000"
"55.699","55.717","1.000","-167.447","713.119","0.0000"
"56.799","56.817","0.837","-374.804","697.262","0.0000"
"57.899","57.917","1.000","-183.397","674.917","0.0000"
"58.999","59.017","1.000","-24.625","656.012","0.0000"
"60.099","60.117","1.000","-37.765","508.128","0.0000"
