"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"BucketWheel","0.10","-14.00","-0.000","-0.000","-0.000","0.1591","0.0160","0.0000","0.0000","1.5640","30.00","0"
"BucketWheel","1.20","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","0.0000","1.5513","29.70","0"
"BucketWheel","2.30","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","0.0000","1.5513","28.05","0"
"BucketWheel","3.40","-14.00","-267.191","0.000","36.861","0.0037","0.0286","0.0000","-0.0000","1.5514","26.40","0"
"BucketWheel","4.40","-14.00","-186.757","-0.000","-112.211","0.0146","0.0294","0.0003","-0.0003","1.5506","24.90","0"
"BucketWheel","5.40","-14.00","-75.489","0.021","-114.926","0.0036","0.0277","0.0004","-0.0004","1.5523","23.40","0"
"BucketWheel","6.40","-14.00","-314.732","-0.030","-52.015","0.0160","0.0295","0.0004","-0.0004","1.5505","22.95","0"
"BucketWheel","7.40","-14.00","-117.636","0.157","-72.744","0.0091","0.0313","0.0004","-0.0004","1.5487","23.13","0"
"BucketWheel","8.40","-14.00","-274.020","1.636","82.639","0.0962","0.0615","0.0031","-0.0031","1.5185","23.62","0"
"BucketWheel","9.50","-14.00","-206.938","-13.780","46.024","0.1150","0.0755","0.0031","-0.0031","1.5046","26.81","0"
"BucketWheel","10.60","-14.00","45.006","-28.548","103.969","0.2134","0.0389","0.0104","0.0104","1.5425","27.92","0"
"BucketWheel","11.70","-14.00","-6.158","1.295","1.009","0.0233","0.0365","0.0322","0.0322","1.5628","27.46","0"
"BucketWheel","12.80","-14.00","-43.222","-5.761","-28.987","0.0222","0.0583","0.0558","0.0558","1.5631","25.81","0"
"BucketWheel","13.90","-14.00","-43.315","-1.593","-94.773","0.0230","0.0855","0.0801","0.0801","1.5499","24.16","0"
"BucketWheel","15.00","-14.00","-226.760","-12.956","-253.719","0.0812","0.1113","0.1044","0.1044","1.5413","22.61","0"
"BucketWheel","16.10","-14.00","-68.832","4.344","-81.687","0.0224","0.1347","0.1287","0.1287","1.5401","21.55","0"
"BucketWheel","17.20","-14.00","-109.331","-7.172","-44.998","0.0244","0.1585","0.1529","0.1529","1.5386","19.90","0"
"BucketWheel","18.30","-14.00","-55.842","-7.103","-115.358","0.0266","0.1761","0.1728","0.1728","1.5463","18.87","0"
