"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","4.000000","4.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","8.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","10.000000","10.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","18.000000","18.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","21.200000","22.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","24.000000","27.200000","6.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","24.800000","30.000000","8.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","23.200000","30.000000","10.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","35.400001","44.200001","12.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","27.200000","47.600001","18.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","14.400000","50.800001","19.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"11.70","8.600000","50.800001","19.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"12.80","14.600000","52.000001","19.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"13.90","18.200000","57.000001","20.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"15.00","23.800000","60.800001","22.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"16.10","20.200000","63.000001","24.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"17.20","25.200000","68.600001","25.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"18.30","21.800000","69.000001","27.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"19.40","23.800000","70.200001","30.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"20.50","22.600000","74.400001","33.600001","0.200000","0.200000","0.000000","0.000000","0.000000","0.000000","0"
"21.60","10.200000","76.000001","33.800001","0.200000","0.200000","0.000000","0.000000","0.000000","0.000000","0"
"22.70","7.600000","76.200001","33.800001","0.800000","0.800000","0.000000","0.000000","0.000000","0.000000","0"
"23.80","2.800000","76.400001","33.800001","1.000000","1.000000","0.000000","0.000000","0.000000","0.000000","0"
"24.90","2.200000","76.400001","33.800001","1.400000","1.400000","0.000000","0.000000","0.000000","0.000000","0"
"26.00","9.000000","76.600001","33.800001","1.400000","1.400000","0.000000","0.000000","0.000000","0.000000","0"
"27.10","15.200000","76.800001","34.000001","1.200000","1.400000","0.000000","0.000000","0.000000","0.000000","0"
"28.20","16.400000","77.600001","34.400001","1.200000","1.400000","0.000000","0.000000","0.000000","0.000000","0"
"29.30","13.400000","77.600001","35.200001","1.000000","1.400000","0.000000","0.000000","0.000000","0.000000","0"
"30.40","16.800000","80.800001","36.200001","1.000000","1.400000","0.000000","0.000000","0.000000","0.000000","0"
"31.50","17.600000","82.800001","38.200001","1.000000","1.400000","0.000000","0.000000","0.000000","0.000000","0"
"32.60","18.600000","83.000001","41.000001","1.000000","1.400000","0.000000","0.000000","0.000000","0.000000","0"
"33.70","5.200000","83.200001","42.600001","1.000000","1.400000","0.000000","0.000000","0.000000","0.000000","0"
"34.80","6.400000","83.200001","42.600001","0.800000","1.400000","0.000000","0.000000","0.000000","0.000000","0"
"35.90","9.000000","83.400001","42.800001","0.800000","1.400000","0.000000","0.000000","0.000000","0.000000","0"
"37.00","6.800000","83.600001","43.000001","0.800000","1.400000","0.000000","0.000000","0.000000","0.000000","0"
"38.10","12.000000","84.000001","43.000001","0.400000","1.400000","0.000000","0.000000","0.000000","0.000000","0"
