"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm","maxPenCollider"
"0.10","19.10","0.000","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000","-1"
"1.20","80.00","0.000","0.00","0.00","60000.000894","0.000000000","6680.000100","0.000000","0","0","0.000000","0.000","-1"
"2.30","80.00","0.000","0.00","0.00","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000","-1"
"3.40","78.72","0.000","0.00","64.39","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000","-1"
"4.40","75.97","0.000","0.00","62.72","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000","-1"
"5.40","78.11","0.000","0.00","34.73","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","1.170","8"
"6.40","76.87","0.000","0.00","93.80","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","1.435","8"
"7.40","77.95","-0.000","11.56","37.15","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.000","-1"
"8.40","73.30","-0.000","3.42","105.61","60000.000894","0.000000000","6898.200103","0.000000","0","0","0.000000","0.284","27"
"9.50","76.85","-0.000","9.38","65.52","60000.000894","0.000000000","6813.000102","0.000000","0","0","0.000000","0.420","20"
"10.60","77.01","-0.000","0.30","37.32","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","1.444","8"
"11.70","79.58","0.000","-6.75","1.98","60000.000894","0.000000000","7202.000107","0.000000","0","0","0.000000","1.000","10"
"12.80","79.18","-0.000","0.71","11.19","60000.000894","0.000000000","7273.200108","0.000000","0","0","0.000000","0.000","-1"
"13.90","78.35","0.000","-0.93","27.78","60000.000894","0.000000000","7800.000116","0.000000","0","0","0.000000","0.580","23"
"15.00","77.25","0.000","-12.65","97.93","60000.000894","0.000000000","8229.800123","0.000000","0","0","0.000000","0.585","14"
"16.10","78.55","0.000","-14.51","36.32","60000.000894","0.000000000","8781.600131","0.000000","0","0","0.000000","1.391","20"
"17.20","77.52","0.000","-30.47","34.95","60000.000894","0.000000000","9352.600139","0.000000","0","0","0.000000","0.830","17"
"18.30","77.87","-0.000","14.71","39.01","60000.000894","0.000000000","9603.200143","0.000000","0","0","0.000000","0.500","7"
"19.40","74.43","0.000","-10.58","94.46","60000.000894","0.000000000","9699.000145","0.000000","0","0","0.000000","1.020","7"
"20.50","77.60","0.000","-12.05","26.99","60000.000894","0.000000000","10038.600150","0.000000","0","0","0.000000","1.130","8"
"21.60","78.12","0.000","-22.87","20.19","60000.000894","0.000000000","9338.200139","0.000000","0","0","0.000000","0.059","8"
"22.70","79.52","-0.000","10.88","6.87","60000.000894","0.000000000","9247.400138","0.000000","0","0","0.000000","0.822","7"
"23.80","79.97","0.000","-18.11","2.03","60000.000894","0.000000000","9778.200146","0.000000","0","0","0.000000","0.019","48"
"24.90","80.00","-0.000","6.44","0.00","60000.000894","0.000000000","9259.200138","0.000000","0","0","0.000000","0.000","-1"
"26.00","79.77","0.000","-12.63","0.70","60000.000894","0.000000000","9314.400139","0.000000","0","0","0.000000","0.000","-1"
"27.10","77.99","-0.000","10.36","64.59","60000.000894","0.000000000","9317.000139","0.000000","0","0","0.000000","0.000","-1"
"28.20","78.82","-0.000","2.98","2.21","60000.000894","0.000000000","9578.200143","0.000000","0","0","0.000000","0.000","-1"
"29.30","79.06","0.000","-8.03","18.29","60000.000894","0.000000000","10268.200153","0.000000","0","0","0.000000","0.000","-1"
"30.40","78.76","0.000","-51.80","36.12","60000.000894","0.000000000","10516.200157","0.000000","0","0","0.000000","0.016","54"
"31.50","77.74","-0.000","20.33","31.47","60000.000894","0.000000000","10015.000149","0.000000","0","0","0.000000","0.000","-1"
"32.60","76.52","0.000","-6.57","37.32","60000.000894","0.000000000","10354.600154","0.000000","0","0","0.000000","0.566","11"
"33.70","79.19","-0.000","30.51","17.77","60000.000894","0.000000000","10217.400152","0.000000","0","0","0.000000","0.028","45"
"34.80","79.40","-0.000","12.16","15.42","60000.000894","0.000000000","10183.600152","0.000000","0","0","0.000000","0.807","13"
"35.90","79.39","-0.000","39.06","10.94","60000.000894","0.000000000","10302.000154","0.000000","0","0","0.000000","0.000","-1"
"37.00","79.62","0.000","-1.00","4.29","60000.000894","0.000000000","10045.800150","0.000000","0","0","0.000000","0.013","48"
"38.10","79.08","0.000","-33.00","26.60","60000.000894","0.000000000","10181.400152","0.000000","0","0","0.000000","0.000","-1"
"39.20","79.45","0.000","-6.86","16.89","60000.000894","0.000000000","10044.000150","0.000000","0","0","0.000000","0.000","-1"
"40.30","78.35","0.000","-17.94","18.09","60000.000894","0.000000000","10699.800159","0.000000","0","0","0.000000","0.000","-1"
"41.40","79.71","0.000","-51.64","7.54","60000.000894","0.000000000","10452.000156","0.000000","0","0","0.000000","0.000","-1"
"42.50","76.15","0.000","-68.99","122.33","60000.000894","0.000000000","10068.200150","0.000000","0","0","0.000000","0.611","17"
"43.60","76.63","-0.000","55.02","62.00","60000.000894","0.000000000","9992.000149","0.000000","0","0","0.000000","1.273","20"
"44.70","78.77","-0.000","29.02","9.48","60000.000894","0.000000000","10151.800151","0.000000","0","0","0.000000","0.000","-1"
"45.80","79.07","0.000","-5.64","25.27","60000.000894","0.000000000","10888.400162","0.000000","0","0","0.000000","0.006","45"
"46.90","79.36","0.000","-3.04","10.73","60000.000894","0.000000000","11533.000172","0.000000","0","0","0.000000","0.000","-1"
"48.00","77.49","-0.000","16.70","44.81","60000.000894","0.000000000","11519.200172","0.000000","0","0","0.000000","0.000","-1"
"49.10","76.80","-0.000","16.62","48.26","60000.000894","0.000000000","11574.200172","0.000000","0","0","0.000000","0.004","54"
