"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.7053","1.7892","0.0000"
"1.200","1","0.000","0","0.0000","1.7053","1.7738","-0.0150"
"2.300","1","0.000","0","0.0000","1.7053","1.7573","-0.0150"
"3.400","1","0.139","0","-0.0000","1.7053","1.7409","-0.0150"
"4.400","1","0.471","0","-0.0003","1.7053","1.7251","-0.0150"
"5.400","1","0.278","0","-0.0004","1.7053","1.7118","-0.0150"
"6.400","1","0.172","0","-0.0004","1.7053","1.7050","0.0150"
"7.400","1","0.097","0","-0.0004","1.7053","1.7051","0.0091"
"8.400","1","0.597","1","-0.0030","1.7053","1.6767","0.0400"
"9.500","1","0.265","0","-0.0029","1.7053","1.6948","0.0150"
"10.600","1","0.159","1","0.0107","1.7044","1.7486","0.0400"
"11.700","1","0.059","0","0.0323","1.7026","1.7690","-0.0150"
"12.800","1","0.114","0","0.0559","1.7006","1.7380","-0.0150"
"13.900","1","0.166","0","0.0804","1.6986","1.7153","-0.0150"
"15.000","1","0.224","0","0.1048","1.6965","1.6948","0.0150"
"16.100","1","0.221","0","0.1291","1.6945","1.6978","-0.0150"
"17.200","1","0.192","0","0.1533","1.6925","1.6934","-0.0150"
"18.300","1","0.368","0","0.1735","1.6908","1.6911","-0.0150"
"19.400","1","0.464","0","0.1959","1.6889","1.6847","0.0150"
"20.500","1","0.621","1","0.2091","1.6878","1.6886","0.0400"
"21.600","1","0.206","1","0.1520","1.6926","1.7155","0.0400"
"22.700","1","0.051","1","0.1403","1.6936","1.7226","0.0400"
"23.800","1","0.033","0","0.1409","1.6935","1.7592","-0.0150"
"24.900","1","0.007","0","0.1258","1.6948","1.7590","-0.0150"
"26.000","1","0.029","0","0.1781","1.6904","1.7348","-0.0150"
"27.100","1","0.166","0","0.2025","1.6884","1.6992","-0.0150"
"28.200","1","0.594","1","0.2163","1.6872","1.6959","0.0400"
"29.300","1","0.107","0","0.2349","1.6857","1.7029","-0.0150"
"30.400","1","0.223","0","0.2565","1.6839","1.6969","-0.0150"
"31.500","1","0.414","0","0.2551","1.6840","1.6841","-0.0081"
"32.600","1","0.389","0","0.2775","1.6821","1.6776","0.0150"
"33.700","1","0.074","1","0.2366","1.6855","1.7219","0.0400"
"34.800","1","0.079","0","0.2512","1.6843","1.7044","-0.0150"
"35.900","1","0.155","0","0.2759","1.6823","1.7051","-0.0150"
"37.000","1","0.087","0","0.2582","1.6837","1.7075","-0.0150"
"38.100","1","0.283","1","0.2651","1.6832","1.6975","0.0400"
"39.200","1","0.084","0","0.2660","1.6831","1.7067","-0.0150"
"40.300","1","0.446","0","0.2900","1.6811","1.6881","-0.0150"
"41.400","1","0.050","1","0.2553","1.6840","1.7092","0.0400"
"42.500","1","0.634","0","0.2692","1.6828","1.6762","0.0150"
"43.600","1","1.054","1","0.2860","1.6814","1.6765","0.0400"
"44.699","1","0.173","0","0.2942","1.6808","1.6836","-0.0150"
"45.799","1","0.078","0","0.3181","1.6788","1.7055","-0.0150"
"46.899","1","0.093","0","0.3423","1.6767","1.7086","-0.0150"
"47.999","1","0.338","0","0.3673","1.6747","1.6949","-0.0150"
"49.099","1","0.438","0","0.3889","1.6729","1.6727","0.0095"
"50.199","1","0.586","0","0.4051","1.6715","1.6736","-0.0150"
"51.299","1","0.555","0","0.4046","1.6716","1.6711","0.0150"
"52.399","1","0.283","0","0.4047","1.6715","1.6839","-0.0150"
"53.499","1","0.489","0","0.4044","1.6716","1.6687","0.0150"
"54.599","1","0.560","1","0.4037","1.6716","1.6624","0.0400"
"55.699","1","0.543","0","0.3999","1.6719","1.6574","0.0150"
"56.799","1","0.649","0","0.3995","1.6720","1.6719","0.0058"
"57.899","1","0.373","0","0.3992","1.6720","1.6788","-0.0150"
"58.999","1","0.090","0","0.3991","1.6720","1.6860","-0.0150"
"60.099","1","0.092","0","0.3992","1.6720","1.6938","-0.0150"
