"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"-275.670","0.070","-10.235","-275.670","0.070","-10.235","-1"
"-55.869","2.161","-167.284","-55.869","2.161","-167.284","-1"
"-117.600","-6.021","-60.594","-117.600","-6.021","-60.594","-1"
"-149.275","-22.133","-190.968","-149.275","-22.133","-190.968","-1"
"-12.486","-2.085","-48.988","-12.486","-2.085","-48.988","-1"
"-37.085","2.849","-41.122","-37.085","2.849","-41.122","-1"
"-53.579","4.301","-7.414","-53.579","4.301","-7.414","-1"
"-89.244","2.846","58.574","-89.244","2.846","58.574","-1"
"-11.273","9.491","-64.538","-11.273","9.491","-64.538","-1"
"7.273","-0.765","-49.846","7.273","-0.765","-49.846","-1"
"-5.969","2.700","-49.554","-5.969","2.700","-49.554","-1"
"1.077","-4.445","-49.366","1.077","-4.445","-49.366","-1"
