"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.133","1.000","0.000","861.056","0.0000"
"1.100","1.133","1.000","0.000","588.001","0.0000"
"2.200","2.233","1.000","0.000","587.997","0.0000"
"3.300","3.333","1.000","-124.104","583.998","0.0000"
"4.400","4.433","1.000","-338.469","594.666","0.0000"
"5.500","5.533","1.000","-104.146","535.334","0.0000"
"6.600","6.633","1.000","-217.244","530.656","0.0000"
"7.700","7.733","1.000","-54.833","616.520","0.0000"
"8.700","8.733","1.000","-87.439","601.930","0.0000"
"9.700","9.733","0.000","-73.937","485.340","0.0000"
"10.700","10.733","1.000","-21.341","554.844","0.0300"
"11.700","11.733","0.000","-26.128","617.464","0.0000"
"12.700","12.733","1.000","-0.559","621.385","0.0300"
"13.700","13.733","1.000","-0.401","626.201","0.0300"
"14.700","14.733","1.000","-70.235","749.178","0.0000"
"15.700","15.733","1.000","-21.072","602.915","0.0300"
"16.800","16.833","1.000","-109.700","621.359","0.0300"
"17.900","17.933","1.000","-6.890","715.522","0.0300"
"19.000","19.033","0.000","-37.461","530.492","0.0000"
"20.100","20.133","1.000","-1.108","618.106","0.0300"
"21.200","21.233","1.000","-6.617","643.723","0.0300"
"22.300","22.333","0.000","-9.494","598.583","0.0000"
"23.400","23.433","1.000","-0.011","618.411","0.0300"
"24.500","24.533","0.000","-84.375","556.173","0.0000"
"25.600","25.633","0.000","11.038","1059.466","0.0000"
"26.700","26.733","1.000","-6.247","610.477","0.0300"
