"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"BucketWheel","0.10","-14.00","-0.000","-0.000","-0.000","0.1523","0.0155","0.0000","0.0000","1.5645","30.00","0"
"BucketWheel","1.10","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","0.0000","1.5513","29.80","0"
"BucketWheel","2.20","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","0.0000","1.5513","28.15","0"
"BucketWheel","3.30","-14.00","-124.104","-0.000","12.090","0.0042","0.0286","0.0000","-0.0000","1.5514","26.50","0"
"BucketWheel","4.40","-14.00","-338.469","0.003","-108.410","0.0225","0.0301","0.0000","0.0000","1.5499","24.85","0"
"BucketWheel","5.50","-14.00","-104.146","0.199","-30.607","0.0056","0.0283","0.0000","0.0000","1.5517","23.20","0"
"BucketWheel","6.60","-14.00","-217.244","2.931","-89.102","0.0321","0.0312","0.0000","0.0000","1.5488","23.10","0"
"BucketWheel","7.70","-14.00","-54.833","-0.088","-28.856","0.0143","0.0305","0.0000","0.0000","1.5495","23.05","0"
"BucketWheel","8.70","-14.00","-87.592","2.408","-32.447","0.0076","0.0297","0.0011","-0.0011","1.5503","23.63","0"
"BucketWheel","9.70","-14.00","-73.816","-1.448","-11.342","0.1037","0.0788","0.0042","-0.0004","1.5013","26.53","0"
"BucketWheel","10.70","-14.00","-21.267","-6.225","-20.642","0.0221","0.0600","0.0172","0.0166","1.5225","27.43","0"
"BucketWheel","11.70","-14.00","-26.094","-7.142","-16.242","0.0745","0.0753","0.0062","-0.0045","1.5050","29.00","0"
"BucketWheel","12.70","-14.00","-0.558","-0.005","0.293","0.0977","0.0416","0.0414","0.0411","1.5840","29.15","0"
"BucketWheel","13.70","-14.00","-0.404","-0.247","-0.084","0.0221","0.0639","0.0634","0.0633","1.5879","27.65","0"
"BucketWheel","14.70","-14.00","-72.333","0.118","-54.760","0.0477","0.0840","0.0779","0.0778","1.5486","27.62","0"
"BucketWheel","15.70","-14.00","-21.062","-0.285","-32.371","0.0219","0.1017","0.0968","0.0966","1.5486","26.12","0"
"BucketWheel","16.80","-14.00","-109.695","-1.834","-56.113","0.0220","0.1245","0.1209","0.1208","1.5500","24.47","0"
"BucketWheel","17.90","-14.00","-6.837","-2.124","-13.597","0.0821","0.1479","0.1450","0.1449","1.5506","22.82","0"
"BucketWheel","19.00","-14.00","-35.916","11.532","-31.690","0.1383","0.1656","0.1606","0.1605","1.5394","21.72","0"
"BucketWheel","20.10","-14.00","-1.385","-0.395","2.885","0.0210","0.1568","0.1539","0.1536","1.5502","22.82","0"
"BucketWheel","21.20","-14.00","-6.991","-0.431","4.106","0.0711","0.1776","0.1774","0.1772","1.5731","21.17","0"
"BucketWheel","22.30","-14.00","-9.638","0.495","0.950","0.0713","0.0961","0.0920","0.0914","1.5521","23.37","0"
"BucketWheel","23.40","-14.00","-0.011","0.008","0.006","0.0040","0.0573","0.0386","0.0313","1.5377","27.22","0"
"BucketWheel","24.50","-14.00","-84.168","5.373","-3.313","0.1269","0.0918","0.0556","0.0511","1.5070","26.12","0"
"BucketWheel","25.60","-14.00","11.526","-1.531","-53.147","0.1830","0.0828","0.0519","0.0469","1.5155","26.75","0"
"BucketWheel","26.70","-14.00","-6.318","-0.534","3.073","0.0204","0.0826","0.0491","0.0438","1.5136","27.30","0"
