"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","4.000000","4.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.10","8.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.20","10.000000","10.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.30","16.000000","16.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","20.800000","22.000000","0.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.50","24.400000","27.600000","7.600000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.60","25.200000","30.800000","9.600000","1.600000","1.600000","0.000000","0.000000","0.000000","0.000000","0"
"7.70","22.800000","30.800000","12.600000","2.000000","2.000000","0.000000","0.000000","0.000000","0.000000","0"
"8.70","19.800000","35.800001","13.200000","2.600000","2.600000","0.000000","0.000000","0.000000","0.000000","0"
"9.70","22.200000","39.000001","14.800000","3.000000","3.200000","0.000000","0.000000","0.000000","0.000000","0"
"10.70","17.800000","41.000001","16.000000","1.000000","3.200000","2.000000","0.000000","2.000000","0.000000","0"
"11.70","15.600000","41.400001","16.600000","0.000000","3.200000","2.200000","0.000000","2.400000","2.000000","0"
"12.70","3.400000","41.400001","16.600000","0.400000","3.800000","2.600000","0.000000","2.600000","2.600000","0"
"13.70","7.600000","42.000001","16.600000","0.400000","3.800000","2.600000","0.000000","2.600000","2.600000","0"
"14.70","16.200000","46.200001","17.600000","0.400000","3.800000","2.600000","0.000000","2.600000","2.600000","0"
"15.70","15.200000","47.200001","18.400000","0.200000","3.800000","2.800000","0.000000","2.800000","2.600000","0"
"16.80","18.000000","50.200001","19.000000","0.000000","3.800000","3.000000","0.000000","3.000000","2.800000","0"
"17.90","19.200000","52.600001","21.000000","0.400000","4.200000","3.000000","0.000000","3.000000","2.800000","0"
"19.00","20.800000","56.200001","22.200000","0.400000","4.200000","3.000000","0.000000","3.000000","2.800000","0"
"20.10","5.000000","56.200001","22.200000","0.600000","4.400000","3.000000","0.000000","3.000000","2.800000","0"
"21.20","5.800000","56.400001","22.200000","1.600000","5.800000","3.400000","0.000000","3.400000","2.800000","0"
"22.30","0.600000","56.400001","22.200000","1.800000","5.800000","3.400000","0.000000","3.400000","3.400000","0"
"23.40","0.000000","56.400001","22.200000","1.200000","5.800000","3.600000","0.000000","3.800000","3.600000","0"
"24.50","9.800000","56.400001","22.200000","0.200000","5.800000","5.000000","0.000000","5.000000","3.800000","0"
"25.60","11.600000","56.400001","22.400000","0.200000","5.800000","5.000000","0.000000","5.000000","4.800000","0"
"26.70","8.200000","56.400001","22.400000","1.400000","7.200000","5.200000","0.000000","5.200000","4.800000","0"
