"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm","maxPenCollider"
"0.10","19.10","0.235","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000","-1"
"1.10","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6654.000099","0.000000","0","0","0.000000","0.000","-1"
"2.20","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000","-1"
"3.30","79.00","0.300","0.00","30.20","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000","-1"
"4.40","75.40","0.300","0.00","95.63","60000.000894","0.000000000","6820.000102","0.000000","0","0","0.000000","0.557","20"
"5.50","77.79","0.300","0.00","33.73","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.004","56"
"6.60","77.49","0.291","7.42","66.97","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.615","17"
"7.70","78.27","0.288","11.45","24.19","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.000","-1"
"8.70","78.34","0.288","8.94","30.78","60000.000894","0.000000000","6774.200101","0.000000","0","0","0.000000","0.692","22"
"9.70","77.99","0.254","33.55","26.84","60000.000894","0.000000000","7043.200105","0.000000","0","0","0.000000","0.999","16"
"10.70","78.41","0.284","23.14","37.61","60000.000894","0.000000000","7042.000105","2.000000","0","0","0.000000","1.037","20"
"11.70","78.99","0.297","1.94","16.21","60000.000894","0.000000000","6784.000101","2.200000","0","0","0.000000","1.197","7"
"12.70","79.99","0.291","6.84","0.01","60000.000894","0.000000000","7042.600105","2.600000","0","0","0.000000","0.000","-1"
"13.70","79.93","0.280","21.25","0.12","60000.000894","0.000000000","6983.800104","2.600000","0","0","0.000000","0.000","-1"
"14.70","78.53","0.269","22.81","21.31","60000.000894","0.000000000","7206.800107","2.600000","0","0","0.000000","0.000","-1"
"15.70","79.25","0.275","26.80","13.32","60000.000894","0.000000000","7962.800119","2.800000","0","0","0.000000","0.000","-1"
"16.80","78.50","0.288","9.12","32.31","60000.000894","0.000000000","8281.800123","3.000000","0","0","0.000000","0.560","8"
"17.90","78.54","0.270","28.11","5.72","60000.000894","0.000000000","8664.600129","3.000000","0","0","0.000000","0.000","-1"
"19.00","78.41","0.289","10.49","25.41","60000.000894","0.000000000","9470.600141","3.000000","0","0","0.000000","0.002","57"
"20.10","79.84","0.275","21.27","1.79","60000.000894","0.000000000","9810.000146","3.000000","0","0","0.000000","0.000","-1"
"21.20","79.83","0.283","16.71","1.88","60000.000894","0.000000000","9980.400149","3.400000","0","0","0.000000","0.000","-1"
"22.30","79.91","0.290","7.34","2.31","60000.000894","0.000000000","9198.200137","3.400000","0","0","0.000000","0.980","2"
"23.40","80.00","0.275","24.89","0.00","60000.000894","0.000000000","8270.000123","3.600000","0","0","0.000000","0.000","-1"
"24.50","78.69","0.280","24.90","22.03","60000.000894","0.000000000","8025.000120","5.000000","0","0","0.000000","0.000","-1"
"25.60","79.30","0.281","22.21","14.22","60000.000894","0.000000000","7540.200112","5.000000","0","0","0.000000","0.993","11"
"26.70","79.84","0.281","16.02","1.93","60000.000894","0.000000000","7545.400112","5.200000","0","0","0.000000","0.000","-1"
