"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.7053","1.7898","0.0000"
"1.100","1","0.000","0","0.0000","1.7053","1.7751","-0.0150"
"2.200","1","0.000","0","0.0000","1.7053","1.7586","-0.0150"
"3.300","1","0.114","0","-0.0000","1.7053","1.7422","-0.0150"
"4.400","1","0.507","0","0.0000","1.7053","1.7241","-0.0150"
"5.500","1","0.248","0","0.0000","1.7053","1.7095","-0.0150"
"6.600","1","0.147","0","0.0000","1.7053","1.7046","0.0150"
"7.700","1","0.074","0","0.0000","1.7053","1.7048","0.0143"
"8.700","1","0.117","0","-0.0012","1.7053","1.7090","-0.0150"
"9.700","1","0.234","1","-0.0005","1.7053","1.6984","0.0400"
"10.700","1","0.101","0","0.0164","1.7039","1.7252","-0.0150"
"11.700","1","0.426","1","-0.0048","1.7053","1.7205","0.0400"
"12.700","1","0.033","0","0.0407","1.7019","1.7997","-0.0150"
"13.700","1","0.012","0","0.0629","1.7000","1.7677","-0.0150"
"14.700","1","0.471","0","0.0789","1.6987","1.7237","-0.0150"
"15.700","1","0.035","0","0.0981","1.6971","1.7357","-0.0150"
"16.800","1","0.106","0","0.1222","1.6951","1.7204","-0.0150"
"17.900","1","0.275","0","0.1464","1.6931","1.7070","-0.0150"
"19.000","1","0.071","1","0.1614","1.6918","1.7160","0.0400"
"20.100","1","0.020","0","0.1552","1.6923","1.7690","-0.0150"
"21.200","1","0.023","0","0.1807","1.6902","1.7679","-0.0150"
"22.300","1","0.018","1","0.0926","1.6976","1.7847","0.0400"
"23.400","1","0.003","0","0.0309","1.7027","1.8036","-0.0150"
"24.500","1","0.758","1","0.0491","1.7012","1.7235","0.0400"
"25.600","1","0.192","1","0.0448","1.7015","1.7141","0.0400"
"26.700","1","0.034","0","0.0416","1.7018","1.7230","-0.0150"
