"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"-25.759","0.000","12.557","-25.759","0.000","12.557","-1"
"-2.435","-0.000","-31.213","-2.435","-0.000","-31.213","-1"
"-193.341","0.006","-47.050","-193.341","0.006","-47.050","-1"
"-110.589","-0.002","-87.303","-110.589","-0.002","-87.303","-1"
"-195.553","2.320","-118.969","-195.553","2.320","-118.969","-1"
"-95.409","-0.504","-88.332","-95.409","-0.504","-88.332","-1"
"-41.806","0.116","-96.504","-41.806","0.116","-96.504","-1"
"-7.630","-0.404","-92.318","-7.630","-0.404","-92.318","-1"
"-174.841","-4.385","-57.217","-174.841","-4.385","-57.217","-1"
"-186.159","-2.108","49.003","-186.159","-2.108","49.003","-1"
"-72.777","-1.033","-101.777","-72.777","-1.033","-101.777","-1"
"7.951","-1.759","-71.750","7.951","-1.759","-71.750","-1"
"-1.767","-1.505","-51.066","-1.767","-1.505","-51.066","-1"
"-13.023","2.789","-40.824","-13.023","2.789","-40.824","-1"
