"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","705.202","0.0000"
"1.200","1.217","1.000","0.000","588.000","0.0000"
"2.300","2.317","1.000","-559.125","673.945","0.0000"
"3.400","3.417","1.000","-137.509","535.116","0.0000"
"4.400","4.417","1.000","-18.929","604.712","0.0000"
"5.400","5.417","1.000","-56.350","558.661","0.0000"
"6.400","6.417","1.000","-29.823","586.642","0.0000"
"7.400","7.417","1.000","-91.513","619.003","0.0000"
"8.400","8.417","1.000","-43.856","571.375","0.0000"
"9.500","9.517","1.000","-118.919","601.107","0.0300"
"10.600","10.617","1.000","10.452","676.210","0.0300"
"11.700","11.717","1.000","-60.801","663.160","0.0300"
"12.800","12.817","1.000","-56.405","592.293","0.0300"
"13.900","13.917","1.000","-18.459","634.285","0.0300"
"15.000","15.017","1.000","-190.069","641.928","0.0300"
"16.100","16.117","1.000","-8.921","646.882","0.0300"
"17.200","17.217","1.000","-36.498","531.435","0.0300"
"18.300","18.317","0.000","-13.791","700.949","0.0000"
"19.400","19.417","1.000","-14.656","594.689","0.0300"
"20.500","20.517","1.000","-99.040","531.439","0.0300"
"21.600","21.617","0.000","-76.416","607.480","0.0000"
"22.700","22.717","1.000","-140.592","593.712","0.0300"
"23.800","23.817","0.000","-11.883","567.963","0.0000"
"24.900","24.917","1.000","-0.471","632.126","0.0300"
"26.000","26.017","1.000","-0.879","584.740","0.0300"
"27.100","27.117","1.000","-152.327","564.101","0.0300"
