"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"BucketWheel","0.10","-14.00","-0.000","-0.000","-0.000","0.1591","0.0160","0.0000","0.0000","1.5640","30.00","0"
"BucketWheel","1.20","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","-0.0000","1.5513","29.70","0"
"BucketWheel","2.30","-14.00","-559.125","0.000","98.276","0.1606","0.0509","0.0000","-0.0000","1.5291","28.05","0"
"BucketWheel","3.40","-14.00","-137.509","0.000","28.331","0.0057","0.0583","0.0005","-0.0005","1.5217","27.87","0"
"BucketWheel","4.40","-14.00","-18.929","-0.001","-19.288","0.0004","0.0295","0.0005","-0.0005","1.5505","26.37","0"
"BucketWheel","5.40","-14.00","-56.347","-0.006","-48.976","0.0275","0.0301","0.0010","-0.0010","1.5500","25.13","0"
"BucketWheel","6.40","-14.00","-29.822","-0.004","-35.707","0.0021","0.0289","0.0018","-0.0018","1.5512","24.82","0"
"BucketWheel","7.40","-14.00","-91.515","-0.048","6.413","0.0002","0.0297","0.0019","-0.0019","1.5504","23.77","0"
"BucketWheel","8.40","-14.00","-43.853","-0.048","-133.092","0.0272","0.0300","0.0019","-0.0019","1.5501","23.04","0"
"BucketWheel","9.50","-14.00","-118.918","-0.130","-26.901","0.0214","0.0300","0.0056","0.0056","1.5505","22.90","0"
"BucketWheel","10.60","-14.00","10.965","-0.547","-57.044","0.0221","0.0550","0.0297","0.0297","1.5337","23.70","0"
"BucketWheel","11.70","-14.00","-60.779","-0.062","19.082","0.0633","0.0616","0.0209","0.0209","1.5220","25.66","0"
"BucketWheel","12.80","-14.00","-56.395","0.017","-9.227","0.0697","0.0669","0.0449","0.0449","1.5304","25.48","0"
"BucketWheel","13.90","-14.00","-18.461","-0.038","4.852","0.0198","0.0710","0.0356","0.0356","1.5186","26.86","0"
"BucketWheel","15.00","-14.00","-190.067","0.087","-94.253","0.0221","0.0857","0.0594","0.0594","1.5182","25.69","0"
"BucketWheel","16.10","-14.00","-8.920","0.110","-23.724","0.0190","0.0786","0.0484","0.0484","1.5181","27.37","0"
"BucketWheel","17.20","-14.00","-36.498","-0.095","-3.399","0.0236","0.0928","0.0722","0.0722","1.5217","25.72","0"
"BucketWheel","18.30","-14.00","-13.774","-0.312","-12.281","0.1520","0.0979","0.0823","0.0823","1.5270","25.89","0"
"BucketWheel","19.40","-14.00","-14.656","0.652","-14.822","0.0215","0.1045","0.0853","0.0853","1.5197","26.44","0"
"BucketWheel","20.50","-14.00","-98.990","0.059","-59.803","0.0238","0.1236","0.1095","0.1095","1.5227","24.79","0"
"BucketWheel","21.60","-14.00","-76.249","-0.349","-47.859","0.0687","0.1360","0.1119","0.1119","1.5027","25.51","0"
"BucketWheel","22.70","-14.00","-140.954","0.346","-43.115","0.0213","0.1381","0.1098","0.1098","1.4963","28.05","0"
"BucketWheel","23.80","-14.00","-11.674","0.548","-15.427","0.0745","0.1577","0.1281","0.1281","1.4880","28.25","0"
"BucketWheel","24.90","-14.00","-0.500","-0.044","0.996","0.0218","0.1605","0.1254","0.1254","1.4799","29.05","0"
"BucketWheel","26.00","-14.00","-0.866","-0.003","-0.626","0.0410","0.1497","0.1165","0.1165","1.4860","29.23","0"
"BucketWheel","27.10","-14.00","-151.863","0.256","-57.850","0.0295","0.1797","0.1405","0.1405","1.4680","29.23","0"
