"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","3.906250","3.906250","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","7.031250","7.031250","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","17.968750","17.968750","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","19.824219","21.191406","3.222656","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","15.136719","25.000000","4.785156","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","18.261719","31.250000","5.371094","0.390625","0.390625","0.000000","0.000000","0.000000","0.000000","0"
"6.40","18.652344","32.324219","7.031250","0.390625","0.390625","0.000000","0.000000","0.000000","0.000000","0"
"7.40","23.828125","34.179688","9.082031","0.585938","0.585938","0.000000","0.000000","0.000000","0.000000","0"
"8.40","27.148438","34.277344","11.425781","0.292969","0.683594","0.000000","0.000000","0.097656","0.000000","0"
"9.50","25.781250","35.253906","11.914062","1.464844","2.001953","0.390625","0.000000","0.390625","0.390625","0"
"10.60","23.535156","41.992188","14.843750","2.880859","3.564453","0.585938","0.000000","0.585938","0.585938","0"
"11.70","18.261719","42.138672","15.185547","4.931641","5.908203","0.683594","0.000000","0.683594","0.585938","0"
"12.80","15.869141","43.554688","15.625000","4.589844","6.689453","1.660156","0.000000","1.708984","0.683594","0"
"13.90","15.820312","43.652344","15.917969","5.419922","9.130859","2.343750","0.000000","2.392578","1.757812","0"
"15.00","20.654297","46.044922","16.943359","2.832031","9.423828","4.052734","0.000000","4.931641","3.759766","0"
"16.10","14.111328","46.533203","18.408203","2.734375","9.667969","6.152344","0.000000","6.250000","5.712891","0"
"17.20","18.017578","47.216797","19.189453","0.976562","10.156250","8.398438","0.000000","8.496094","6.347656","0"
"18.30","16.210938","49.560547","19.921875","1.123047","10.644531","8.544922","0.000000","8.691406","8.203125","0"
"19.40","16.064453","49.560547","20.214844","0.976562","10.693359","8.935547","0.000000","9.033203","8.496094","0"
"20.50","18.750000","50.781250","21.533203","0.585938","10.937500","9.082031","0.000000","9.277344","8.740234","0"
"21.60","24.023438","55.664062","22.949219","0.634766","11.279297","9.716797","0.000000","9.960938","9.277344","0"
"22.70","18.750000","55.761719","23.779297","1.904297","12.646484","9.863281","0.048828","10.009766","9.570312","0"
"23.80","16.210938","56.005859","25.000000","2.001953","13.085938","10.058594","0.048828","10.205078","9.814453","0"
"24.90","12.744141","56.005859","25.000000","1.708984","13.232422","10.400391","0.048828","10.546875","10.058594","0"
"26.00","10.937500","56.005859","25.000000","0.634766","13.281250","11.376953","0.048828","11.572266","10.351562","0"
"27.10","19.384766","57.324219","25.878906","0.390625","13.525391","11.962891","0.048828","12.158203","11.669922","0"
