"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm","maxPenCollider"
"0.10","19.10","0.247","0.00","0.00","60000.000000","0.000000000","6656.250000","0.000000","0","0","0.000000","0.000","-1"
"1.20","80.00","0.300","0.00","0.00","60000.000000","0.000000000","6656.250000","0.000000","0","0","0.000000","0.000","-1"
"2.30","77.05","0.300","0.00","135.68","60000.000000","0.000000000","6750.000000","0.000000","0","0","0.000000","0.475","8"
"3.40","77.40","0.300","0.00","39.67","60000.000000","0.000000000","6843.750000","0.000000","0","0","0.000000","0.000","-1"
"4.40","79.27","0.300","0.00","7.96","60000.000000","0.000000000","6750.000000","0.000000","0","0","0.000000","0.000","-1"
"5.40","78.91","0.299","0.55","21.18","60000.000000","0.000000000","6843.750000","0.000000","0","0","0.000000","0.000","-1"
"6.40","79.37","0.300","1.85","11.78","60000.000000","0.000000000","6821.240234","0.000000","0","0","0.000000","0.000","-1"
"7.40","78.81","0.299","1.32","24.94","60000.000000","0.000000000","6843.750000","0.000000","0","0","0.000000","0.000","-1"
"8.40","77.21","0.296","2.43","43.58","60000.000000","0.000000000","6843.750000","0.000000","0","0","0.000000","0.000","-1"
"9.50","78.34","0.297","0.89","30.24","60000.000000","0.000000000","6937.890625","0.390625","0","0","0.000000","0.000","-1"
"10.60","78.07","0.261","26.13","40.13","60000.000000","0.000000000","7367.773438","0.585938","0","0","0.000000","0.815","14"
"11.70","79.36","0.273","30.23","16.35","60000.000000","0.000000000","7125.683594","0.683594","0","0","0.000000","0.594","8"
"12.80","79.19","0.273","18.50","14.72","60000.000000","0.000000000","7407.910156","1.660156","0","0","0.000000","0.004","49"
"13.90","79.62","0.277","21.82","5.09","60000.000000","0.000000000","7314.697266","2.343750","0","0","0.000000","0.000","-1"
"15.00","78.10","0.279","20.09","52.36","60000.000000","0.000000000","7597.802734","4.052734","0","0","0.000000","0.473","17"
"16.10","79.29","0.289","9.81","12.96","60000.000000","0.000000000","7412.060547","6.152344","0","0","0.000000","0.000","-1"
"17.20","79.19","0.292","8.47","12.30","60000.000000","0.000000000","7789.453125","8.398438","0","0","0.000000","0.000","-1"
"18.30","79.57","0.293","10.12","5.70","60000.000000","0.000000000","7882.958984","8.544922","0","0","0.000000","0.014","55"
"19.40","79.58","0.261","73.49","6.95","60000.000000","0.000000000","7883.154297","8.935547","0","0","0.000000","1.040","8"
"20.50","78.44","0.288","11.54","31.94","60000.000000","0.000000000","8258.593750","9.082031","0","0","0.000000","0.666","20"
"21.60","77.43","0.290","9.05","27.83","60000.000000","0.000000000","8345.117188","9.716797","0","0","0.000000","0.000","-1"
"22.70","79.04","0.269","28.94","35.02","60000.000000","0.000000000","8121.142578","9.863281","0","0","0.000000","0.122","32"
"23.80","79.05","0.289","9.47","7.20","60000.000000","0.000000000","8610.302734","10.058594","0","0","0.000000","0.030","50"
"24.90","79.91","0.265","39.78","0.93","60000.000000","0.000000000","8744.921875","10.400391","0","0","0.000000","0.000","-1"
"26.00","79.97","0.281","9.27","0.29","60000.000000","0.000000000","8532.812500","11.376953","0","0","0.000000","0.000","-1"
"27.10","78.52","0.290","5.72","37.97","60000.000000","0.000000000","8730.126953","11.962891","0","0","0.000000","0.000","-1"
