"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.7053","1.7892","0.0000"
"1.200","1","0.000","0","-0.0000","1.7053","1.7738","-0.0150"
"2.300","1","0.285","0","-0.0000","1.7053","1.7351","-0.0150"
"3.400","1","0.352","0","-0.0005","1.7053","1.7258","-0.0150"
"4.400","1","0.028","0","-0.0005","1.7053","1.7397","-0.0150"
"5.400","1","0.288","0","-0.0010","1.7053","1.7268","-0.0150"
"6.400","1","0.194","0","-0.0018","1.7053","1.7249","-0.0150"
"7.400","1","0.159","0","-0.0019","1.7053","1.7138","-0.0150"
"8.400","1","0.104","0","-0.0019","1.7053","1.7060","-0.0150"
"9.500","1","0.180","0","0.0056","1.7048","1.7049","-0.0069"
"10.600","1","0.136","0","0.0296","1.7028","1.7021","0.0150"
"11.700","1","0.119","0","0.0208","1.7035","1.7028","0.0150"
"12.800","1","0.124","0","0.0448","1.7015","1.7115","-0.0150"
"13.900","1","0.065","0","0.0354","1.7023","1.7130","-0.0150"
"15.000","1","0.210","0","0.0592","1.7003","1.7003","-0.0002"
"16.100","1","0.021","0","0.0482","1.7012","1.7173","-0.0150"
"17.200","1","0.090","0","0.0720","1.6993","1.7044","-0.0150"
"18.300","1","0.122","1","0.0821","1.6984","1.7115","0.0400"
"19.400","1","0.079","0","0.0851","1.6982","1.7096","-0.0150"
"20.500","1","0.191","0","0.1093","1.6962","1.6968","-0.0150"
"21.600","1","0.826","1","0.1117","1.6960","1.6850","0.0400"
"22.700","1","0.108","0","0.1095","1.6961","1.6960","0.0109"
"23.800","1","0.201","1","0.1279","1.6946","1.7048","0.0400"
"24.900","1","0.022","0","0.1249","1.6949","1.7164","-0.0150"
"26.000","1","0.006","0","0.1160","1.6956","1.7186","-0.0150"
"27.100","1","0.244","0","0.1400","1.6936","1.6910","0.0150"
