"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"-20.993","0.054","9.253","-20.993","0.054","9.253","-1"
"-81.928","-0.013","-257.602","-81.928","-0.013","-257.602","-1"
"-4.152","1.025","-9.919","-4.152","1.025","-9.919","-1"
"-67.403","-1.583","-127.023","-67.403","-1.583","-127.023","-1"
"-3.270","-0.343","-78.048","-3.270","-0.343","-78.048","-1"
"1.317","-4.719","-54.379","1.317","-4.719","-54.379","-1"
"-3.667","-4.936","-20.218","-3.667","-4.936","-20.218","-1"
"-224.337","0.894","-66.969","-224.337","0.894","-66.969","-1"
"5.249","17.512","-8.503","5.249","17.512","-8.503","-1"
"-58.412","13.695","-37.021","-58.412","13.695","-37.021","-1"
"78.524","10.665","-47.367","78.524","10.665","-47.367","-1"
"-2.533","2.155","-74.854","-2.533","2.155","-74.854","-1"
"-78.577","11.818","-18.990","-78.577","11.818","-18.990","-1"
"-349.067","31.752","78.577","-349.067","31.752","78.577","-1"
"-36.293","6.849","41.719","-36.293","6.849","41.719","-1"
"-75.736","-0.923","-6.326","-75.736","-0.923","-6.326","-1"
"-7.001","-0.477","133.013","-7.001","-0.477","133.013","-1"
"96.766","18.179","199.063","96.766","18.179","199.063","-1"
"26.975","10.120","174.163","26.975","10.120","174.163","-1"
"-3.453","-0.333","-55.008","-3.453","-0.333","-55.008","-1"
"-91.823","16.327","124.992","-91.823","16.327","124.992","-1"
"-58.322","-5.533","66.501","-58.322","-5.533","66.501","-1"
"-52.554","-4.614","75.386","-52.554","-4.614","75.386","-1"
"-15.055","1.205","37.079","-15.055","1.205","37.079","-1"
"-104.484","2.405","137.413","-104.484","2.405","137.413","-1"
"-46.592","0.468","192.430","-46.592","0.468","192.430","-1"
"-21.489","7.805","-132.781","-21.489","7.805","-132.781","-1"
"-116.629","-2.861","41.168","-116.629","-2.861","41.168","-1"
"-35.889","-1.293","70.004","-35.889","-1.293","70.004","-1"
