"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","705.202","0.0000"
"1.200","1.217","1.000","0.000","588.000","0.0000"
"2.300","2.317","1.000","0.000","588.001","0.0000"
"3.400","3.417","1.000","-267.189","589.034","0.0000"
"4.400","4.417","1.000","-186.756","635.311","0.0000"
"5.400","5.417","1.000","-75.489","553.084","0.0000"
"6.400","6.417","1.000","-158.715","622.193","0.0000"
"7.400","7.417","1.000","-86.040","681.304","0.0000"
"8.400","8.417","1.000","-78.052","648.379","0.0000"
"9.500","9.517","0.000","-36.133","559.872","0.0000"
"10.600","10.617","1.000","-6.187","628.825","0.0300"
"11.700","11.717","1.000","-1.427","680.885","0.0300"
"12.800","12.817","1.000","-0.834","652.017","0.0300"
"13.900","13.917","0.000","-2.113","622.933","0.0000"
"15.000","15.017","1.000","-4.322","509.486","0.0300"
"16.100","16.117","1.000","-1.707","596.771","0.0300"
"17.200","17.217","1.000","-6.446","558.815","0.0300"
"18.300","18.317","1.000","-43.964","625.358","0.0300"
"19.400","19.417","1.000","-9.727","595.910","0.0300"
"20.500","20.517","0.000","0.021","580.480","0.0000"
"21.600","21.617","1.000","7.175","574.583","0.0300"
"22.700","22.717","1.000","-100.603","564.677","0.0300"
"23.800","23.817","1.000","113.598","681.524","0.0300"
"24.900","24.917","0.000","-10.061","584.954","0.0000"
"26.000","26.017","1.000","-2.858","631.680","0.0300"
"27.100","27.117","1.000","-165.004","567.602","0.0300"
"28.200","28.217","1.000","-10.108","611.617","0.0300"
"29.300","29.317","0.570","-151.903","467.675","0.0196"
"30.400","30.417","1.000","-10.179","609.101","0.0300"
"31.500","31.517","0.000","-8.761","636.419","0.0000"
"32.600","32.617","1.000","-87.719","477.621","0.0300"
"33.700","33.717","1.000","-7.886","584.515","0.0300"
"34.800","34.817","1.000","-4.207","609.574","0.0300"
"35.900","35.917","1.000","-0.897","521.580","0.0300"
"37.000","37.017","0.000","-0.039","593.171","0.0000"
"38.100","38.117","0.000","-2.308","551.092","0.0000"
"39.200","39.217","1.000","-4.044","576.159","0.0300"
"40.300","40.317","0.000","-27.438","560.247","0.0000"
"41.400","41.417","0.000","-0.039","502.430","0.0000"
"42.500","42.517","1.000","0.000","573.371","0.0300"
"43.600","43.617","1.000","-11.566","610.118","0.0300"
"44.699","44.717","1.000","-70.874","490.069","0.0300"
"45.799","45.817","1.000","-30.304","583.497","0.0300"
"46.899","46.917","1.000","-0.752","567.315","0.0300"
"47.999","48.017","1.000","-44.390","538.540","0.0300"
"49.099","49.117","0.000","-0.403","577.168","0.0000"
"50.199","50.217","1.000","-0.099","521.186","0.0000"
"51.299","51.317","1.000","-23.128","541.515","0.0000"
"52.399","52.417","1.000","-11.819","487.647","0.0000"
"53.499","53.517","1.000","-11.022","539.727","0.0000"
"54.599","54.617","1.000","-12.422","535.977","0.0000"
"55.699","55.717","1.000","-364.269","648.779","0.0000"
"56.799","56.817","1.000","-117.268","588.207","0.0000"
"57.899","57.917","1.000","-50.538","548.640","0.0000"
"58.999","59.017","1.000","-72.065","578.311","0.0000"
"60.099","60.117","1.000","-181.808","577.240","0.0000"
