"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"BucketWheel","0.10","-14.00","-0.000","-0.000","-0.000","0.1591","0.0160","0.0000","0.0000","1.5640","30.00","0"
"BucketWheel","1.20","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","0.0000","1.5513","29.70","0"
"BucketWheel","2.30","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","0.0000","1.5513","28.05","0"
"BucketWheel","3.40","-14.00","-267.189","0.001","36.861","0.0037","0.0286","0.0000","-0.0000","1.5514","26.40","0"
"BucketWheel","4.40","-14.00","-186.756","-0.000","-112.212","0.0146","0.0294","0.0003","-0.0003","1.5506","24.90","0"
"BucketWheel","5.40","-14.00","-75.489","0.021","-114.929","0.0036","0.0277","0.0004","-0.0004","1.5523","23.40","0"
"BucketWheel","6.40","-14.00","-158.715","-0.466","-29.582","0.0026","0.0293","0.0004","-0.0004","1.5507","22.93","0"
"BucketWheel","7.40","-14.00","-86.040","0.107","-80.981","0.0024","0.0313","0.0004","-0.0004","1.5487","23.13","0"
"BucketWheel","8.40","-14.00","-79.199","1.051","-166.855","0.0182","0.0565","0.0066","-0.0066","1.5238","24.41","0"
"BucketWheel","9.50","-14.00","-43.742","10.126","-145.046","0.2076","0.0492","0.0377","-0.0376","1.5483","26.81","0"
"BucketWheel","10.60","-14.00","-6.159","-3.757","1.166","0.0516","0.0632","0.0535","-0.0534","1.5464","29.19","0"
"BucketWheel","11.70","-14.00","-1.413","3.555","0.201","0.0625","0.0506","0.0306","-0.0305","1.5397","27.54","0"
"BucketWheel","12.80","-14.00","-0.804","-0.502","-1.554","0.0249","0.0431","0.0065","-0.0062","1.5374","25.89","0"
"BucketWheel","13.90","-14.00","-2.126","-0.681","0.138","0.0187","0.0561","0.0112","-0.0096","1.5250","26.26","0"
"BucketWheel","15.00","-14.00","-4.244","-0.727","-1.600","0.1273","0.0610","0.0065","0.0015","1.5194","26.07","0"
"BucketWheel","16.10","-14.00","-1.766","-0.649","1.225","0.0221","0.0494","0.0266","0.0258","1.5384","24.42","0"
"BucketWheel","17.20","-14.00","-6.396","-0.856","-12.050","0.0221","0.0574","0.0505","0.0501","1.5527","22.77","0"
"BucketWheel","18.30","-14.00","-43.800","2.276","-4.953","0.0231","0.0853","0.0738","0.0735","1.5372","22.13","0"
