"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","4.000000","4.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","8.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","10.000000","10.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","18.000000","18.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","21.200000","22.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","24.000000","27.200000","6.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","24.000000","29.600000","7.200000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","23.600000","30.000000","10.800000","3.000000","4.000000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","30.800000","43.200001","13.200000","2.800000","4.000000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","21.400000","49.600001","16.800000","3.400000","5.200000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","9.200000","49.600001","18.400000","2.200000","6.200000","2.800000","0.000000","2.800000","0.000000","0"
"11.70","7.800000","49.600001","18.400000","2.400000","6.600000","2.800000","0.000000","2.800000","2.800000","0"
"12.80","8.800000","49.600001","18.400000","3.000000","8.600000","4.000000","0.000000","4.000000","2.800000","0"
"13.90","3.200000","50.800001","18.400000","2.600000","8.800000","4.600000","0.000000","4.600000","4.000000","0"
"15.00","7.800000","50.800001","18.400000","1.800000","8.800000","5.000000","0.000000","5.000000","4.600000","0"
"16.10","10.000000","51.400001","18.400000","1.000000","9.200000","6.400000","0.000000","6.400000","5.400000","0"
"17.20","15.800000","54.400001","18.600000","0.400000","9.200000","7.000000","0.000000","7.000000","7.000000","0"
"18.30","16.200000","58.800001","18.800000","0.200000","9.200000","7.000000","0.000000","7.000000","7.000000","0"
"19.40","12.800000","58.800001","19.000000","0.000000","9.200000","7.200000","0.000000","7.200000","7.000000","0"
"20.50","14.800000","58.800001","19.800000","0.000000","9.200000","7.200000","0.000000","7.200000","7.000000","0"
"21.60","10.400000","59.200001","19.800000","0.200000","9.400000","7.200000","0.000000","7.200000","7.000000","0"
"22.70","16.000000","60.400001","20.000000","0.800000","10.000000","7.200000","0.000000","7.200000","7.000000","0"
"23.80","18.000000","65.200001","23.600000","0.400000","10.000000","7.200000","0.000000","7.200000","7.000000","0"
"24.90","8.200000","65.200001","23.800000","3.400000","13.200000","7.200000","0.000000","7.200000","7.000000","0"
"26.00","4.000000","65.200001","23.800000","3.000000","13.200000","7.600000","0.000000","7.600000","7.400000","0"
"27.10","15.200000","65.200001","23.800000","3.000000","13.200000","7.600000","0.000000","7.600000","7.400000","0"
"28.20","12.800000","65.200001","25.200000","0.000000","13.200000","10.200000","0.000000","10.400000","7.400000","0"
"29.30","19.800000","70.600001","26.800000","0.400000","13.600000","10.400000","0.000000","10.400000","10.000000","0"
"30.40","13.800000","71.000001","29.600000","1.000000","14.200000","10.400000","0.000000","10.400000","10.000000","0"
"31.50","7.200000","71.200001","30.200000","1.600000","15.000000","10.400000","0.000000","10.400000","10.000000","0"
"32.60","15.600000","71.200001","30.200000","3.400000","16.800000","10.800000","0.000000","10.800000","10.000000","0"
"33.70","10.000000","71.200001","30.600000","2.600000","16.800000","10.800000","0.000000","11.000000","10.400000","0"
"34.80","2.200000","71.200001","31.400000","2.600000","17.200000","11.600000","0.000000","11.600000","11.000000","0"
"35.90","3.000000","71.200001","31.400000","0.600000","17.400000","12.400000","0.000000","13.200000","11.200000","0"
"37.00","1.800000","71.200001","31.400000","0.400000","17.400000","14.000000","0.000000","14.000000","12.800000","0"
"38.10","1.800000","71.200001","31.400000","0.000000","17.400000","14.200000","0.000000","14.200000","13.600000","0"
