"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.7053","1.7892","0.0000"
"1.200","1","0.000","0","0.0000","1.7053","1.7738","-0.0150"
"2.300","1","0.000","0","0.0000","1.7053","1.7573","-0.0150"
"3.400","1","0.139","0","-0.0000","1.7053","1.7409","-0.0150"
"4.400","1","0.471","0","-0.0003","1.7053","1.7251","-0.0150"
"5.400","1","0.278","0","-0.0004","1.7053","1.7118","-0.0150"
"6.400","1","0.150","0","-0.0004","1.7053","1.7053","-0.0026"
"7.400","1","0.077","0","-0.0004","1.7053","1.7052","0.0024"
"8.400","1","0.351","0","-0.0066","1.7053","1.6880","0.0150"
"9.500","1","1.078","1","-0.0386","1.7053","1.7036","0.0400"
"10.600","1","0.204","0","-0.0542","1.7053","1.7354","-0.0150"
"11.700","1","0.015","0","-0.0313","1.7053","1.7402","-0.0150"
"12.800","1","0.015","0","-0.0071","1.7053","1.7362","-0.0150"
"13.900","1","0.016","1","-0.0109","1.7053","1.7602","0.0400"
"15.000","1","0.027","0","-0.0006","1.7053","1.7418","-0.0150"
"16.100","1","0.014","0","0.0246","1.7032","1.7408","-0.0150"
"17.200","1","0.185","0","0.0495","1.7011","1.7090","-0.0150"
"18.300","1","0.159","0","0.0729","1.6992","1.7095","-0.0150"
"19.400","1","0.064","0","0.0580","1.7004","1.7333","-0.0150"
"20.500","1","0.124","1","0.0737","1.6991","1.7178","0.0400"
"21.600","1","0.038","0","0.0668","1.6997","1.7488","-0.0150"
"22.700","1","0.223","0","0.0907","1.6977","1.7069","-0.0150"
"23.800","1","0.118","0","0.1150","1.6957","1.7085","-0.0150"
"24.900","1","0.049","1","0.1327","1.6942","1.7449","0.0400"
"26.000","1","0.011","0","0.0917","1.6976","1.7590","-0.0150"
"27.100","1","0.174","0","0.1144","1.6957","1.7041","-0.0150"
"28.200","1","0.176","0","0.1392","1.6937","1.7087","-0.0150"
"29.300","1","0.729","0","0.1611","1.6918","1.6866","0.0150"
"30.400","1","0.209","0","0.1736","1.6908","1.6989","-0.0150"
"31.500","1","0.072","1","0.1361","1.6939","1.7123","0.0400"
"32.600","1","0.168","0","0.1474","1.6930","1.6894","0.0150"
"33.700","1","0.085","0","0.1720","1.6909","1.7072","-0.0150"
"34.800","1","0.026","0","0.1462","1.6931","1.7568","-0.0150"
"35.900","1","0.028","0","0.1666","1.6914","1.7479","-0.0150"
"37.000","1","0.066","1","0.1290","1.6945","1.7672","0.0400"
"38.100","1","0.087","1","0.1418","1.6934","1.7631","0.0400"
"39.200","1","0.021","0","0.1374","1.6938","1.7488","-0.0150"
"40.300","1","0.023","1","0.1293","1.6945","1.7242","0.0400"
"41.400","1","0.023","1","0.1087","1.6962","1.7710","0.0400"
"42.500","1","0.007","0","0.1006","1.6969","1.7781","-0.0150"
"43.600","1","0.036","0","0.1245","1.6949","1.7159","-0.0150"
"44.699","1","0.107","0","0.1488","1.6929","1.7025","-0.0150"
"45.799","1","0.117","0","0.1731","1.6908","1.7088","-0.0150"
"46.899","1","0.020","0","0.1635","1.6916","1.7432","-0.0150"
"47.999","1","0.046","0","0.1843","1.6899","1.7168","-0.0150"
"49.099","1","0.023","1","0.1554","1.6923","1.7431","0.0400"
"50.199","1","0.035","0","0.1482","1.6929","1.7182","-0.0150"
"51.299","1","0.134","0","0.1482","1.6929","1.6891","0.0150"
"52.399","1","0.152","0","0.1480","1.6929","1.6930","-0.0013"
"53.499","1","0.027","0","0.1475","1.6930","1.7052","-0.0150"
"54.599","1","0.191","0","0.1478","1.6929","1.6833","0.0150"
"55.699","1","0.266","0","0.1486","1.6929","1.6579","0.0150"
"56.799","1","0.206","0","0.1475","1.6930","1.6967","-0.0150"
"57.899","1","0.217","0","0.1474","1.6930","1.6931","-0.0053"
"58.999","1","0.078","0","0.1470","1.6930","1.7043","-0.0150"
"60.099","1","0.147","0","0.1470","1.6930","1.6903","0.0150"
