"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"-20.992","0.054","9.250","-20.992","0.054","9.250","-1"
"-99.845","0.160","-225.579","-99.845","0.160","-225.579","-1"
"-62.910","-0.076","-109.418","-62.910","-0.076","-109.418","-1"
"-45.469","-9.407","-66.426","-45.469","-9.407","-66.426","-1"
"-18.895","-9.797","-74.916","-18.895","-9.797","-74.916","-1"
"-3.329","-4.151","-75.008","-3.329","-4.151","-75.008","-1"
"-7.509","-2.742","-65.386","-7.509","-2.742","-65.386","-1"
"-60.726","-7.943","-40.761","-60.726","-7.943","-40.761","-1"
"-41.459","-16.616","-22.125","-41.459","-16.616","-22.125","-1"
"-28.722","-14.094","-59.548","-28.722","-14.094","-59.548","-1"
"52.154","19.434","-68.077","52.154","19.434","-68.077","-1"
"-86.378","4.537","4.744","-86.378","4.537","4.744","-1"
"-242.684","45.953","127.754","-242.684","45.953","127.754","-1"
"-270.538","29.721","-61.240","-270.538","29.721","-61.240","-1"
"-89.454","-52.547","-27.085","-89.454","-52.547","-27.085","-1"
"-22.733","-20.969","-150.256","-22.733","-20.969","-150.256","-1"
"-170.785","-148.207","326.237","-170.785","-148.207","326.237","-1"
"-200.706","-156.755","48.022","-200.706","-156.755","48.022","-1"
"-188.687","-83.460","139.213","-188.687","-83.460","139.213","-1"
"-95.275","10.358","336.775","-95.275","10.358","336.775","-1"
"-100.136","-19.515","-48.811","-100.136","-19.515","-48.811","-1"
"-76.490","-61.446","27.633","-76.490","-61.446","27.633","-1"
"-205.536","-15.686","165.303","-205.536","-15.686","165.303","-1"
"-158.431","-9.715","-22.290","-158.431","-9.715","-22.290","-1"
"-276.496","-38.404","-14.535","-276.496","-38.404","-14.535","-1"
"-176.698","-50.722","6.855","-176.698","-50.722","6.855","-1"
"-66.154","-16.668","-79.981","-66.154","-16.668","-79.981","-1"
"-294.171","-78.417","-53.472","-294.171","-78.417","-53.472","-1"
"-114.754","-56.868","-87.267","-114.754","-56.868","-87.267","-1"
