"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","705.202","0.0000"
"1.200","1.217","1.000","0.000","588.000","0.0000"
"2.300","2.317","1.000","0.000","588.001","0.0000"
"3.400","3.417","1.000","-267.190","589.034","0.0000"
"4.400","4.417","1.000","-186.753","635.311","0.0000"
"5.400","5.417","1.000","-75.487","553.078","0.0000"
"6.400","6.417","1.000","-350.784","609.146","0.0000"
"7.400","7.417","1.000","-146.552","647.332","0.0000"
"8.400","8.417","1.000","-44.142","691.379","0.0000"
"9.500","9.517","0.000","-333.475","728.267","0.0000"
"10.600","10.617","0.000","18.784","718.499","0.0000"
"11.700","11.717","1.000","-15.279","622.579","0.0300"
"12.800","12.817","0.000","-9.441","549.968","0.0000"
"13.900","13.917","1.000","-14.645","635.267","0.0300"
"15.000","15.017","1.000","-3.721","595.044","0.0300"
"16.100","16.117","1.000","-1.003","637.901","0.0300"
"17.200","17.217","1.000","-9.343","600.790","0.0300"
"18.300","18.317","1.000","-50.981","629.551","0.0300"
"19.400","19.417","1.000","-8.654","595.434","0.0300"
"20.500","20.517","0.000","-43.463","589.710","0.0000"
"21.600","21.617","1.000","-12.963","628.287","0.0300"
"22.700","22.717","1.000","-283.167","651.099","0.0300"
"23.800","23.817","1.000","-12.001","552.284","0.0300"
"24.900","24.917","1.000","-81.187","597.790","0.0300"
"26.000","26.017","1.000","-32.640","556.094","0.0300"
"27.100","27.117","1.000","-9.782","563.393","0.0300"
"28.200","28.217","1.000","-99.703","592.859","0.0300"
"29.300","29.317","1.000","-22.725","486.073","0.0300"
"30.400","30.417","1.000","-89.526","632.291","0.0300"
"31.500","31.517","1.000","-114.090","476.440","0.0300"
"32.600","32.617","1.000","-221.631","654.278","0.0300"
"33.700","33.717","1.000","-98.320","709.941","0.0300"
"34.800","34.817","1.000","-218.536","605.910","0.0300"
"35.900","35.917","1.000","-101.686","588.861","0.0300"
"37.000","37.017","1.000","-129.526","563.563","0.0300"
"38.100","38.117","1.000","-147.989","569.450","0.0300"
"39.200","39.217","1.000","-112.845","548.902","0.0300"
"40.300","40.317","1.000","-268.621","488.718","0.0300"
"41.400","41.417","1.000","-110.705","440.004","0.0300"
"42.500","42.517","0.000","-118.260","424.257","0.0000"
"43.600","43.617","1.000","-25.243","578.630","0.0300"
"44.699","44.717","1.000","-70.041","560.320","0.0300"
"45.799","45.817","0.899","-344.625","514.563","0.0262"
"46.899","46.917","1.000","-165.618","574.744","0.0300"
"47.999","48.017","1.000","-139.476","507.812","0.0300"
"49.099","49.117","1.000","-226.724","492.808","0.0300"
"50.199","50.217","1.000","-138.277","558.189","0.0000"
"51.299","51.317","1.000","-264.694","522.541","0.0000"
"52.399","52.417","1.000","-216.114","533.337","0.0000"
"53.499","53.517","1.000","-202.216","593.825","0.0000"
"54.599","54.617","1.000","-124.324","660.008","0.0000"
"55.699","55.717","1.000","-112.224","650.951","0.0000"
"56.799","56.817","1.000","-53.894","609.490","0.0000"
"57.899","57.917","1.000","-207.200","632.519","0.0000"
"58.999","59.017","1.000","-83.476","657.085","0.0000"
"60.099","60.117","1.000","-85.482","583.048","0.0000"
