"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"BucketWheel","0.10","-14.00","-0.000","-0.000","-0.000","0.1591","0.0160","0.0000","0.0000","1.5640","30.00","0"
"BucketWheel","1.20","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","0.0000","1.5513","29.70","0"
"BucketWheel","2.30","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","0.0000","1.5513","28.05","0"
"BucketWheel","3.40","-14.00","-267.190","0.000","36.861","0.0037","0.0286","0.0000","0.0000","1.5514","26.40","0"
"BucketWheel","4.40","-14.00","-186.753","-0.000","-112.214","0.0146","0.0294","0.0003","-0.0003","1.5506","24.90","0"
"BucketWheel","5.40","-14.00","-75.487","0.021","-114.921","0.0036","0.0277","0.0004","-0.0004","1.5523","23.40","0"
"BucketWheel","6.40","-14.00","-350.784","-0.036","-41.690","0.0194","0.0295","0.0004","-0.0004","1.5505","22.95","0"
"BucketWheel","7.40","-14.00","-146.552","-0.121","-50.089","0.0074","0.0314","0.0004","-0.0004","1.5486","23.14","0"
"BucketWheel","8.40","-14.00","-45.138","3.767","-144.998","0.0191","0.0574","0.0054","-0.0054","1.5229","24.47","0"
"BucketWheel","9.50","-14.00","-344.051","-7.216","-217.876","0.1240","0.0523","0.0090","-0.0083","1.5285","26.58","0"
"BucketWheel","10.60","-14.00","13.498","11.882","-154.733","0.2224","0.0699","0.0124","-0.0120","1.5112","29.48","0"
"BucketWheel","11.70","-14.00","-15.260","-2.170","-13.944","0.0225","0.0467","0.0181","-0.0175","1.5369","29.03","0"
"BucketWheel","12.80","-14.00","-9.228","-3.816","-5.714","0.1123","0.0519","0.0188","-0.0170","1.5317","28.84","0"
"BucketWheel","13.90","-14.00","-14.169","0.126","-11.288","0.0214","0.0455","0.0147","-0.0118","1.5370","28.90","0"
"BucketWheel","15.00","-14.00","-3.938","-0.877","5.037","0.0509","0.0473","0.0149","0.0122","1.5351","27.25","0"
"BucketWheel","16.10","-14.00","-0.997","-0.081","-0.158","0.0235","0.0564","0.0374","0.0364","1.5378","25.60","0"
"BucketWheel","17.20","-14.00","-9.265","-2.882","-1.565","0.0222","0.0740","0.0613","0.0607","1.5387","23.95","0"
"BucketWheel","18.30","-14.00","-49.199","-9.775","-40.488","0.0221","0.0953","0.0855","0.0850","1.5380","22.30","0"
