"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","4.000000","4.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","8.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","10.000000","10.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","18.000000","18.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","21.200000","22.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","24.000000","27.200000","6.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","24.800000","30.000000","8.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","22.400000","30.000000","11.600000","3.600000","4.400000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","30.000000","43.200001","13.200000","3.200000","4.400000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","28.200000","47.200001","16.400000","2.800000","4.400000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","18.600000","47.200001","19.000000","0.600000","5.000000","2.800000","0.000000","2.800000","0.000000","0"
"11.70","6.600000","47.200001","19.000000","1.200000","5.800000","3.200000","0.000000","3.200000","3.000000","0"
"12.80","3.600000","47.200001","19.000000","2.600000","7.200000","3.200000","0.000000","3.200000","3.200000","0"
"13.90","2.800000","47.200001","19.000000","2.000000","7.200000","3.800000","0.000000","3.800000","3.200000","0"
"15.00","3.800000","47.200001","19.000000","1.400000","7.200000","4.400000","0.000000","4.400000","4.400000","0"
"16.10","7.800000","47.200001","19.000000","0.000000","7.200000","5.800000","0.000000","5.800000","4.400000","0"
"17.20","13.000000","51.000001","19.000000","0.000000","7.200000","5.800000","0.000000","5.800000","5.800000","0"
"18.30","14.000000","51.000001","19.200000","0.000000","7.200000","5.800000","0.000000","5.800000","5.800000","0"
"19.40","12.000000","51.000001","19.400000","0.000000","7.200000","5.800000","0.000000","5.800000","5.800000","0"
"20.50","13.800000","52.400001","19.400000","0.000000","7.200000","5.800000","0.000000","5.800000","5.800000","0"
"21.60","13.000000","52.400001","19.600000","0.000000","7.200000","5.800000","0.000000","5.800000","5.800000","0"
"22.70","19.000000","56.600001","20.800000","0.200000","7.400000","5.800000","0.000000","5.800000","5.800000","0"
"23.80","19.000000","57.200001","22.800000","0.000000","7.400000","5.800000","0.000000","5.800000","5.800000","0"
"24.90","9.600000","57.600001","22.800000","0.000000","7.400000","5.800000","0.000000","5.800000","5.800000","0"
"26.00","14.800000","57.800001","22.800000","0.400000","7.800000","5.800000","0.000000","5.800000","5.800000","0"
"27.10","17.600000","58.200001","23.600000","0.600000","7.800000","5.800000","0.000000","5.800000","5.800000","0"
"28.20","18.600000","62.200001","25.600000","1.200000","8.400000","5.800000","0.000000","5.800000","5.800000","0"
"29.30","23.200000","66.000001","27.800000","0.600000","8.400000","6.000000","0.000000","6.000000","5.800000","0"
"30.40","17.800000","67.800001","33.200000","2.000000","9.800000","6.200000","0.000000","6.200000","6.200000","0"
"31.50","20.600000","72.200001","36.000001","2.200000","10.600000","6.600000","0.000000","6.600000","6.200000","0"
"32.60","8.600000","72.400001","36.400001","3.400000","11.800000","6.600000","0.000000","6.600000","6.600000","0"
"33.70","13.000000","72.400001","36.600001","2.600000","12.800000","7.200000","0.000000","8.000000","6.600000","0"
"34.80","15.400000","72.400001","37.000001","1.400000","12.800000","8.400000","0.000000","8.400000","8.200000","0"
"35.90","15.600000","72.800001","37.800001","0.600000","12.800000","9.200000","0.000000","9.200000","8.400000","0"
"37.00","14.600000","72.800001","38.000001","0.800000","13.600000","10.000000","0.000000","10.000000","10.000000","0"
"38.10","16.600000","76.400001","40.800001","0.800000","13.600000","10.000000","0.000000","10.000000","10.000000","0"
