"rawFxN","rawFyN","rawFzN","filteredFxN","filteredFyN","filteredFzN","forceCapN"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"0.000","0.000","0.000","0.000","0.000","0.000","-1"
"-20.991","0.054","9.251","-20.991","0.054","9.251","-1"
"-98.727","0.097","-225.299","-98.727","0.097","-225.299","-1"
"-27.547","0.256","-72.263","-27.547","0.256","-72.263","-1"
"-59.153","6.840","-171.764","-59.153","6.840","-171.764","-1"
"-53.538","6.172","-122.830","-53.538","6.172","-122.830","-1"
"-3.617","0.449","-97.144","-3.617","0.449","-97.144","-1"
"-53.977","1.147","-47.850","-53.977","1.147","-47.850","-1"
"-120.069","0.841","-56.706","-120.069","0.841","-56.706","-1"
"-2.502","-8.328","-51.664","-2.502","-8.328","-51.664","-1"
"-48.478","-26.002","-34.843","-48.478","-26.002","-34.843","-1"
"-9.339","-14.673","22.828","-9.339","-14.673","22.828","-1"
"-33.332","0.649","-44.670","-33.332","0.649","-44.670","-1"
"-21.978","17.252","-26.537","-21.978","17.252","-26.537","-1"
"-2.821","1.435","-44.037","-2.821","1.435","-44.037","-1"
"-19.196","4.102","19.564","-19.196","4.102","19.564","-1"
"-2.303","-6.704","430.603","-2.303","-6.704","430.603","-1"
"-100.277","31.933","570.953","-100.277","31.933","570.953","-1"
"77.677","2.350","116.910","77.677","2.350","116.910","-1"
"-213.677","-2.964","-24.471","-213.677","-2.964","-24.471","-1"
"-70.702","0.306","27.197","-70.702","0.306","27.197","-1"
"0.425","6.526","-56.856","0.425","6.526","-56.856","-1"
"-57.494","-16.408","-10.142","-57.494","-16.408","-10.142","-1"
"-7.125","-26.371","-20.937","-7.125","-26.371","-20.937","-1"
"33.841","-14.122","-0.054","33.841","-14.122","-0.054","-1"
"-46.430","-13.225","-49.392","-46.430","-13.225","-49.392","-1"
"-67.132","-31.340","122.277","-67.132","-31.340","122.277","-1"
"48.391","-13.137","98.561","48.391","-13.137","98.561","-1"
"7.672","16.140","262.009","7.672","16.140","262.009","-1"
"31.058","2.740","244.177","31.058","2.740","244.177","-1"
