"t","worldT","fraction","draftN","tractionBudgetN","targetMps"
"0.100","0.117","1.000","0.000","705.202","0.0000"
"1.200","1.217","1.000","0.000","588.000","0.0000"
"2.300","2.317","1.000","0.000","588.001","0.0000"
"3.400","3.417","1.000","-267.191","589.034","0.0000"
"4.400","4.417","1.000","-186.757","635.312","0.0000"
"5.400","5.417","1.000","-75.489","553.080","0.0000"
"6.400","6.417","1.000","-314.698","609.243","0.0000"
"7.400","7.417","1.000","-86.936","664.570","0.0000"
"8.400","8.417","1.000","-27.042","627.991","0.0000"
"9.500","9.517","0.000","-166.099","715.102","0.0000"
"10.600","10.617","1.000","-165.549","649.880","0.0300"
"11.700","11.717","1.000","-79.772","595.750","0.0300"
"12.800","12.817","0.000","-10.525","519.805","0.0000"
"13.900","13.917","0.000","-3.270","626.254","0.0000"
"15.000","15.017","1.000","-3.012","570.315","0.0300"
"16.100","16.117","1.000","-221.248","641.189","0.0300"
"17.200","17.217","1.000","-154.672","675.908","0.0300"
"18.300","18.317","1.000","2.670","569.735","0.0000"
"19.400","19.417","1.000","4.192","605.428","0.0000"
"20.500","20.517","1.000","-4.146","587.097","0.0000"
"21.600","21.617","1.000","-0.566","606.219","0.0000"
"22.700","22.717","1.000","-2.308","520.849","0.0000"
"23.800","23.817","1.000","-2.053","624.661","0.0000"
"24.900","24.917","1.000","-41.436","450.689","0.0000"
"26.000","26.017","1.000","-39.643","602.810","0.0000"
"27.100","27.117","1.000","-0.545","633.051","0.0000"
"28.200","28.217","1.000","-12.591","612.645","0.0000"
"29.300","29.317","1.000","-43.105","579.576","0.0000"
"30.400","30.417","1.000","4.142","387.402","0.0000"
"31.500","31.517","1.000","-7.086","539.521","0.0000"
"32.600","32.617","1.000","-6.707","542.753","0.0000"
"33.700","33.717","1.000","-3.259","447.703","0.0000"
"34.800","34.817","1.000","-27.762","516.569","0.0000"
"35.900","35.917","0.000","-102.522","288.012","0.0000"
"37.000","37.017","1.000","31.362","587.247","0.0000"
"38.100","38.117","1.000","194.035","288.114","0.0000"
"39.200","39.217","1.000","-182.752","0.887","0.0000"
"40.300","40.317","0.000","-284.410","468.506","0.0000"
"41.400","41.417","1.000","-67.287","578.061","0.0000"
"42.500","42.517","1.000","-12.593","579.822","0.0000"
"43.600","43.617","1.000","-1.793","602.186","0.0000"
"44.699","44.717","1.000","-3.041","623.189","0.0000"
"45.799","45.817","1.000","-75.179","598.774","0.0000"
"46.899","46.917","1.000","-1.205","588.324","0.0000"
"47.999","48.017","1.000","0.316","593.751","0.0000"
"49.099","49.117","1.000","-30.559","595.317","0.0000"
"50.199","50.217","1.000","7.590","541.645","0.0000"
"51.299","51.317","1.000","-1.832","608.564","0.0000"
"52.399","52.417","1.000","-47.999","588.046","0.0000"
"53.499","53.517","1.000","15.010","629.012","0.0000"
"54.599","54.617","1.000","-41.916","412.921","0.0000"
"55.699","55.717","1.000","-87.641","518.572","0.0000"
"56.799","56.817","1.000","-0.673","293.559","0.0000"
"57.899","57.917","1.000","-10.475","369.171","0.0000"
"58.999","59.017","1.000","52.161","496.283","0.0000"
"60.099","60.117","1.000","25.598","581.818","0.0000"
