"type","t","pitchDeg","rotorFxN","rotorFyN","rotorFzN","chassisSpeedMps","displacementM","horizontalDisplacementM","signedAdvanceM","chassisZm","mountCm","fixedBench"
"BucketWheel","0.10","-14.00","-0.000","-0.000","-0.000","0.1591","0.0160","0.0000","0.0000","1.5640","30.00","0"
"BucketWheel","1.20","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","0.0000","1.5513","29.70","0"
"BucketWheel","2.30","-14.00","-0.000","-0.000","-0.000","0.0000","0.0287","0.0000","0.0000","1.5513","28.05","0"
"BucketWheel","3.40","-14.00","-267.191","-0.000","36.861","0.0037","0.0286","0.0000","-0.0000","1.5514","26.40","0"
"BucketWheel","4.40","-14.00","-186.757","-0.000","-112.210","0.0146","0.0294","0.0003","-0.0003","1.5506","24.90","0"
"BucketWheel","5.40","-14.00","-75.489","0.021","-114.925","0.0036","0.0277","0.0004","-0.0004","1.5523","23.40","0"
"BucketWheel","6.40","-14.00","-314.698","-0.030","-51.986","0.0160","0.0295","0.0004","-0.0004","1.5505","22.95","0"
"BucketWheel","7.40","-14.00","-86.936","-0.005","-96.137","0.0076","0.0312","0.0004","-0.0004","1.5488","23.12","0"
"BucketWheel","8.40","-14.00","-28.299","-0.179","-183.091","0.0113","0.0570","0.0068","-0.0068","1.5234","24.54","0"
"BucketWheel","9.50","-14.00","-173.482","1.145","-155.438","0.0491","0.0511","0.0269","-0.0267","1.5365","27.19","0"
"BucketWheel","10.60","-14.00","-169.952","9.940","-106.593","0.0495","0.0556","0.0168","-0.0166","1.5270","27.13","0"
"BucketWheel","11.70","-14.00","-79.570","-2.505","80.702","0.0223","0.0797","0.0079","0.0075","1.5007","28.03","0"
"BucketWheel","12.80","-14.00","-10.528","-0.788","0.346","0.1259","0.0630","0.0155","-0.0153","1.5189","29.75","0"
"BucketWheel","13.90","-14.00","-3.331","-0.009","2.445","0.0066","0.0556","0.0469","-0.0468","1.5501","30.00","0"
"BucketWheel","15.00","-14.00","-2.985","-0.442","5.547","0.0579","0.0437","0.0296","-0.0294","1.5478","28.48","0"
"BucketWheel","16.10","-14.00","-221.406","-2.383","-38.883","0.0606","0.0515","0.0058","-0.0052","1.5289","26.83","0"
"BucketWheel","17.20","-14.00","-154.096","1.283","-36.239","0.0356","0.0592","0.0188","0.0186","1.5239","25.18","0"
"BucketWheel","18.30","-14.00","1.990","6.700","17.792","0.0553","0.0485","0.0362","0.0361","1.5477","23.95","0"
