"t","rotorKg","intakeSeenKg","liftedKg","troughKg","troughSeenKg","outletKg","sideLossKg","tailCrossKg","rearSettledKg","rig"
"0.10","4.000000","4.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"1.20","8.000000","8.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"2.30","10.000000","10.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"3.40","18.000000","18.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"4.40","21.200000","22.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"5.40","24.000000","27.200000","6.800000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"6.40","24.800000","30.000000","8.400000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0"
"7.40","23.200000","30.000000","10.800000","3.600000","4.400000","0.000000","0.000000","0.000000","0.000000","0"
"8.40","29.200000","43.200001","13.200000","3.600000","4.800000","0.000000","0.000000","0.000000","0.000000","0"
"9.50","24.200000","47.600001","16.000000","4.000000","5.600000","0.000000","0.000000","0.000000","0.000000","0"
"10.60","24.000000","47.600001","17.400000","1.200000","5.600000","2.800000","0.000000","2.800000","0.000000","0"
"11.70","18.200000","49.000001","18.000000","0.800000","5.600000","3.200000","0.000000","3.200000","3.200000","0"
"12.80","8.200000","50.800001","18.000000","0.400000","6.000000","4.200000","0.000000","4.400000","3.200000","0"
"13.90","0.400000","50.800001","18.000000","0.600000","6.200000","4.400000","0.000000","4.400000","3.600000","0"
"15.00","6.200000","50.800001","18.000000","0.600000","6.200000","4.400000","0.000000","4.400000","3.600000","0"
"16.10","12.600000","50.800001","18.000000","0.200000","6.200000","4.800000","0.000000","4.800000","3.600000","0"
"17.20","15.800000","50.800001","18.400000","0.000000","6.200000","4.800000","0.000000","5.000000","4.800000","0"
"18.30","11.200000","51.600001","18.600000","0.000000","6.200000","5.000000","0.000000","5.000000","5.000000","0"
"19.40","12.200000","51.600001","18.600000","0.000000","6.200000","5.000000","0.000000","5.000000","5.000000","0"
"20.50","12.800000","52.000001","18.600000","0.000000","6.200000","5.000000","0.000000","5.000000","5.000000","0"
"21.60","16.600000","52.200001","18.600000","0.000000","6.200000","5.000000","0.000000","5.000000","5.000000","0"
"22.70","20.200000","52.800001","18.600000","0.000000","6.200000","5.000000","0.000000","5.000000","5.000000","0"
"23.80","18.000000","53.200001","18.800000","0.000000","6.200000","5.000000","0.000000","5.000000","5.000000","0"
"24.90","20.600000","53.400001","18.800000","0.000000","6.200000","5.000000","0.000000","5.000000","5.000000","0"
"26.00","13.000000","53.400001","19.000000","0.000000","6.200000","5.000000","0.000000","5.000000","5.000000","0"
"27.10","20.600000","53.400001","19.000000","0.000000","6.200000","5.000000","0.000000","5.000000","5.000000","0"
"28.20","15.200000","53.400001","19.000000","0.000000","6.200000","5.000000","0.000000","5.000000","5.000000","0"
"29.30","14.000000","53.400001","19.200000","0.000000","6.200000","5.000000","0.000000","5.000000","5.000000","0"
"30.40","21.600000","53.400001","19.200000","0.000000","6.200000","5.000000","0.000000","5.000000","5.000000","0"
"31.50","18.400000","54.000001","19.200000","0.000000","6.200000","5.000000","0.000000","5.000000","5.000000","0"
"32.60","18.600000","54.000001","19.200000","0.000000","6.200000","5.000000","0.000000","5.000000","5.000000","0"
"33.70","21.800000","54.000001","19.400000","0.000000","6.200000","5.000000","0.000000","5.000000","5.000000","0"
"34.80","23.400000","54.800001","19.400000","0.000000","6.200000","5.000000","0.000000","5.000000","5.000000","0"
"35.90","28.200000","54.800001","19.400000","0.000000","6.200000","5.000000","0.000000","5.000000","5.000000","0"
"37.00","29.000000","56.600001","20.000000","0.000000","6.200000","5.000000","0.000000","5.000000","5.000000","0"
"38.10","47.200001","63.200001","20.000000","0.000000","6.200000","5.000000","0.000000","5.000000","5.000000","0"
