"t","rpm","chain","chainForceN","torque","mass","massError","rearMass","delivered","nonfinite","carried","penetratingKg","maxPenMm","maxPenCollider"
"0.10","19.10","0.247","0.00","0.00","60000.000894","0.000000000","6600.000098","0.000000","0","0","0.000000","0.000","-1"
"1.20","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6680.000100","0.000000","0","0","0.000000","0.000","-1"
"2.30","80.00","0.300","0.00","0.00","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000","-1"
"3.40","78.72","0.300","0.00","64.39","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000","-1"
"4.40","75.97","0.300","0.00","62.72","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000","-1"
"5.40","78.11","0.300","0.00","34.73","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","1.170","8"
"6.40","76.87","0.300","0.00","93.78","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","1.433","8"
"7.40","78.45","0.282","17.42","30.48","60000.000894","0.000000000","6900.000103","0.000000","0","0","0.000000","0.000","-1"
"8.40","77.38","0.285","12.17","47.87","60000.000894","0.000000000","6760.000101","0.000000","0","0","0.000000","0.000","-1"
"9.50","77.89","0.277","24.65","57.40","60000.000894","0.000000000","5893.000088","0.000000","0","0","0.000000","0.000","-1"
"10.60","78.58","0.277","21.39","48.65","60000.000894","0.000000000","6134.400091","2.800000","0","0","0.000000","0.000","-1"
"11.70","78.01","0.288","14.86","32.74","60000.000894","0.000000000","6944.000103","3.200000","0","0","0.000000","0.641","14"
"12.80","79.23","0.280","17.39","6.14","60000.000894","0.000000000","6754.800101","4.200000","0","0","0.000000","1.182","13"
"13.90","79.99","0.282","17.97","-0.16","60000.000894","0.000000000","6416.600096","4.400000","0","0","0.000000","0.000","-1"
"15.00","79.87","0.297","2.53","2.21","60000.000894","0.000000000","6303.200094","4.400000","0","0","0.000000","0.000","-1"
"16.10","78.70","0.286","13.22","55.69","60000.000894","0.000000000","6725.800100","4.800000","0","0","0.000000","1.517","8"
"17.20","77.67","0.294","0.47","40.08","60000.000894","0.000000000","7316.200109","4.800000","0","0","0.000000","0.633","17"
"18.30","0.00","-0.000","7.47","-1.25","60000.000894","0.000000000","7758.600116","5.000000","0","0","0.000000","0.000","-1"
"19.40","0.00","-0.000","0.43","-3.03","60000.000894","0.000000000","7803.200116","5.000000","0","0","0.000000","0.000","-1"
"20.50","-0.00","-0.000","2.49","0.84","60000.000894","0.000000000","7604.800113","5.000000","0","0","0.000000","0.000","-1"
"21.60","-0.00","0.000","-0.47","1.05","60000.000894","0.000000000","6993.400104","5.000000","0","0","0.000000","0.000","-1"
"22.70","0.00","-0.000","2.32","-0.91","60000.000894","0.000000000","6695.600100","5.000000","0","0","0.000000","0.000","-1"
"23.80","-0.00","-0.000","1.80","1.21","60000.000894","0.000000000","6850.400102","5.000000","0","0","0.000000","0.000","-1"
"24.90","-0.00","-0.000","0.03","2.66","60000.000894","0.000000000","7127.600106","5.000000","0","0","0.000000","0.000","-1"
"26.00","-0.00","0.000","-0.03","8.44","60000.000894","0.000000000","7298.600109","5.000000","0","0","0.000000","0.000","-1"
"27.10","0.00","-0.000","0.16","-2.52","60000.000894","0.000000000","7306.600109","5.000000","0","0","0.000000","0.000","-1"
"28.20","-0.00","-0.000","0.04","4.44","60000.000894","0.000000000","7041.600105","5.000000","0","0","0.000000","0.000","-1"
