"t","adaptive","loadRatio","relief","advanceM","desiredHeadZm","actualHeadZm","liftMps"
"0.100","1","0.000","0","0.0000","1.7053","1.7892","0.0000"
"1.200","1","0.000","0","0.0000","1.7053","1.7738","-0.0150"
"2.300","1","0.000","0","0.0000","1.7053","1.7573","-0.0150"
"3.400","1","0.139","0","-0.0000","1.7053","1.7409","-0.0150"
"4.400","1","0.471","0","-0.0003","1.7053","1.7251","-0.0150"
"5.400","1","0.278","0","-0.0004","1.7053","1.7118","-0.0150"
"6.400","1","0.172","0","-0.0004","1.7053","1.7050","0.0150"
"7.400","1","0.064","0","-0.0004","1.7053","1.7051","0.0076"
"8.400","1","0.399","0","-0.0068","1.7053","1.6890","0.0150"
"9.500","1","0.606","1","-0.0270","1.7053","1.6998","0.0400"
"10.600","1","0.174","0","-0.0165","1.7053","1.6948","0.0150"
"11.700","1","0.132","0","0.0084","1.7046","1.7048","-0.0150"
"12.800","1","0.122","1","-0.0146","1.7053","1.7506","0.0400"
"13.900","1","0.016","1","-0.0456","1.7053","1.7928","0.0000"
"15.000","1","0.019","0","-0.0285","1.7053","1.7549","-0.0150"
"16.100","1","0.147","0","-0.0042","1.7053","1.7196","-0.0150"
"17.200","1","0.197","0","0.0192","1.7037","1.7129","-0.0150"
"18.300","1","0.047","0","0.0366","1.7022","1.7394","0.0000"
"19.400","1","0.015","0","0.0366","1.7022","1.7354","0.0000"
"20.500","1","0.025","0","0.0366","1.7022","1.7333","0.0000"
"21.600","1","0.038","0","0.0366","1.7022","1.7127","0.0000"
"22.700","1","0.029","0","0.0366","1.7022","1.7010","0.0000"
"23.800","1","0.054","0","0.0366","1.7022","1.7097","0.0000"
"24.900","1","0.185","0","0.0366","1.7022","1.6984","0.0000"
"26.000","1","0.043","0","0.0366","1.7022","1.7295","0.0000"
"27.100","1","0.058","0","0.0366","1.7022","1.6981","0.0000"
"28.200","1","0.029","0","0.0366","1.7022","1.7161","0.0000"
"29.300","1","0.068","0","0.0366","1.7022","1.7262","0.0000"
"30.400","1","0.072","0","0.0366","1.7022","1.6927","0.0000"
"31.500","1","0.032","0","0.0366","1.7022","1.7122","0.0000"
"32.600","1","0.051","0","0.0366","1.7022","1.7098","0.0000"
"33.700","1","0.044","0","0.0366","1.7022","1.7004","0.0000"
"34.800","1","0.352","0","0.0366","1.7022","1.6976","0.0000"
"35.900","1","0.678","1","0.0366","1.7022","1.6849","0.0000"
"37.000","1","0.158","0","0.0366","1.7022","1.6832","0.0000"
"38.100","1","0.498","0","0.0366","1.7022","1.6421","0.0000"
"39.200","1","0.436","0","0.0366","1.7022","1.6429","0.0000"
"40.300","1","0.845","1","0.0366","1.7022","1.6877","0.0000"
"41.400","1","0.061","0","0.0366","1.7022","1.7225","0.0000"
"42.500","1","0.083","0","0.0366","1.7022","1.7146","0.0000"
"43.600","1","0.030","0","0.0366","1.7022","1.7494","0.0000"
"44.699","1","0.038","0","0.0366","1.7022","1.7631","0.0000"
"45.799","1","0.131","0","0.0366","1.7022","1.7240","0.0000"
"46.899","1","0.043","0","0.0366","1.7022","1.7161","0.0000"
"47.999","1","0.046","0","0.0366","1.7022","1.7159","0.0000"
"49.099","1","0.059","0","0.0366","1.7022","1.7216","0.0000"
"50.199","1","0.087","0","0.0366","1.7022","1.7033","0.0000"
"51.299","1","0.032","0","0.0366","1.7022","1.7147","0.0000"
"52.399","1","0.187","0","0.0366","1.7022","1.6908","0.0000"
"53.499","1","0.293","0","0.0366","1.7022","1.7033","0.0000"
"54.599","1","0.312","0","0.0366","1.7022","1.6879","0.0000"
"55.699","1","0.118","0","0.0366","1.7022","1.6937","0.0000"
"56.799","1","0.107","0","0.0366","1.7022","1.6862","0.0000"
"57.899","1","0.130","0","0.0366","1.7022","1.6923","0.0000"
"58.999","1","0.108","0","0.0366","1.7022","1.6984","0.0000"
"60.099","1","0.112","0","0.0366","1.7022","1.7117","0.0000"
