id,motion,shape,x,y,z,hx,hy,hz,axx,axy,axz,ayx,ayy,ayz,azx,azy,azz
0,0,0,-1.000000,-0.300000,1.545000,0.210000,0.030000,0.042500,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
1,0,0,-1.000000,0.300000,1.545000,0.210000,0.030000,0.042500,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000
2,4,0,-1.138287,0.000000,1.805397,0.470000,0.205000,0.015000,0.970296,0.000000,-0.241922,0.000000,1.000000,0.000000,0.241922,0.000000,0.970296
3,0,0,-1.129819,-0.235000,1.839357,0.470000,0.015000,0.080000,0.970296,0.000000,-0.241922,0.000000,1.000000,0.000000,0.241922,0.000000,0.970296
4,0,0,-1.129819,0.235000,1.839357,0.470000,0.015000,0.080000,0.970296,0.000000,-0.241922,0.000000,1.000000,0.000000,0.241922,0.000000,0.970296
5,3,0,-0.286898,0.000000,1.665265,0.100000,0.230000,0.100000,0.970296,0.000000,-0.241922,0.000000,1.000000,0.000000,0.241922,0.000000,0.970296
6,3,0,-0.286898,0.000000,1.665265,0.070000,0.230000,0.070000,0.970296,0.000000,-0.241922,0.000000,1.000000,0.000000,0.241922,0.000000,0.970296
7,3,0,-0.126799,0.000000,1.625348,0.075000,0.205000,0.022000,0.970296,0.000000,-0.241922,0.000000,1.000000,0.000000,0.241922,0.000000,0.970296
8,3,0,-0.063025,0.000000,1.645519,0.018000,0.205000,0.050000,0.970296,0.000000,-0.241922,0.000000,1.000000,0.000000,0.241922,0.000000,0.970296
9,3,0,-0.176549,0.000000,1.673824,0.018000,0.205000,0.050000,0.970296,0.000000,-0.241922,0.000000,1.000000,0.000000,0.241922,0.000000,0.970296
10,3,0,-0.241418,0.000000,1.506657,0.075000,0.205000,0.022000,0.275637,0.000000,-0.961262,0.000000,1.000000,0.000000,0.961262,0.000000,0.275637
11,3,0,-0.192062,0.000000,1.461512,0.018000,0.205000,0.050000,0.275637,0.000000,-0.961262,0.000000,1.000000,0.000000,0.961262,0.000000,0.275637
12,3,0,-0.224312,0.000000,1.573980,0.018000,0.205000,0.050000,0.275637,0.000000,-0.961262,0.000000,1.000000,0.000000,0.961262,0.000000,0.275637
13,3,0,-0.401517,0.000000,1.546574,0.075000,0.205000,0.022000,-0.694658,0.000000,-0.719340,0.000000,1.000000,0.000000,0.719340,0.000000,-0.694658
14,3,0,-0.415935,0.000000,1.481259,0.018000,0.205000,0.050000,-0.694658,0.000000,-0.719340,0.000000,1.000000,0.000000,0.719340,0.000000,-0.694658
15,3,0,-0.334660,0.000000,1.565421,0.018000,0.205000,0.050000,-0.694658,0.000000,-0.719340,0.000000,1.000000,0.000000,0.719340,0.000000,-0.694658
16,3,0,-0.446997,0.000000,1.705182,0.075000,0.205000,0.022000,-0.970295,0.000000,0.241922,0.000000,1.000000,0.000000,-0.241922,0.000000,-0.970295
17,3,0,-0.510771,0.000000,1.685011,0.018000,0.205000,0.050000,-0.970295,0.000000,0.241922,0.000000,1.000000,0.000000,-0.241922,0.000000,-0.970295
18,3,0,-0.397246,0.000000,1.656707,0.018000,0.205000,0.050000,-0.970295,0.000000,0.241922,0.000000,1.000000,0.000000,-0.241922,0.000000,-0.970295
19,3,0,-0.332378,0.000000,1.823873,0.075000,0.205000,0.022000,-0.275637,0.000000,0.961262,0.000000,1.000000,0.000000,-0.961262,0.000000,-0.275637
20,3,0,-0.381734,0.000000,1.869018,0.018000,0.205000,0.050000,-0.275637,0.000000,0.961262,0.000000,1.000000,0.000000,-0.961262,0.000000,-0.275637
